,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
84,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
85,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
86,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
87,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
88,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
89,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
90,Wag the Dog,"Comedy, Drama  ",97,1997,71,73,80128
91,Speed 2: Cruise Control,"Action, Adventure, Crime  ",121,1997,39,23,76126
92,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
93,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
94,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
95,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
96,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
97,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
98,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
99,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
100,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
101,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
102,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
103,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
104,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
105,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
106,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
107,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
108,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
109,Starship Troopers,"Action, Adventure, Sci-Fi  ",129,1997,72,51,274479
110,Contact,"Drama, Mystery, Sci-Fi  ",150,1997,75,62,259133
111,Boogie Nights,Drama  ,155,1997,79,85,244247
112,Batman & Robin,"Action, Sci-Fi  ",125,1997,38,28,237514
113,Alien: Resurrection,"Action, Horror, Sci-Fi  ",109,1997,62,63,233141
114,Austin Powers: International Man of Mystery,"Adventure, Comedy  ",89,1997,70,51,225392
115,Cube,"Drama, Mystery, Sci-Fi  ",90,1997,72,61,216879
116,Hercules,"Animation, Adventure, Comedy  ",93,1997,73,74,211263
117,Tomorrow Never Dies,"Action, Adventure, Thriller  ",119,1997,65,52,183952
118,Air Force One,"Action, Drama, Thriller  ",124,1997,65,61,183553
119,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
120,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
121,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
122,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
123,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
124,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
125,My Best Friend's Wedding,"Comedy, Drama, Romance  ",105,1997,63,50,132865
126,Anastasia,"Animation, Adventure, Drama  ",94,1997,72,61,114550
127,The Jackal,"Action, Crime, Drama  ",124,1997,64,36,108808
128,The Full Monty,"Comedy, Drama  ",91,1997,72,75,100491
