Release Group,Worldwide,Domestic,%,Foreign,%,Year
The Upside of Anger,"$28,237,488","$18,761,993",66.4%,"$9,475,495",33.6%,2005
Mrs. Henderson Presents,"$27,876,417","$11,036,366",39.6%,"$16,840,051",60.4%,2005
Ice Princess,"$27,645,491","$24,402,491",88.3%,"$3,243,000",11.7%,2005
Goal! The Dream Begins,"$27,610,873","$4,283,255",15.5%,"$23,327,618",84.5%,2005
The Protector,"$27,165,581","$12,044,087",44.3%,"$15,121,494",55.7%,2005
Doogal,"$26,711,924","$7,438,000",27.8%,"$19,273,924",72.2%,2005
Typhoon,"$26,179,656","$139,059",0.5%,"$26,040,597",99.5%,2005
9th Company,"$26,146,165",-,-,"$26,146,165",100%,2005
Natale a Miami,"$25,643,184",-,-,"$25,643,184",100%,2005
The Tiger and the Snow,"$25,460,023","$10,167",<0.1%,"$25,449,856",100%,2005
North Country,"$25,211,175","$18,337,722",72.7%,"$6,873,453",27.3%,2005
April Snow,"$24,873,159",-,-,"$24,873,159",100%,2005
I Love You in Every Language in the World,"$23,941,317",-,-,"$23,941,317",100%,2005
Lady Vengeance,"$23,834,149","$211,667",0.9%,"$23,622,482",99.1%,2005
Russian Dolls,"$23,727,301","$326,095",1.4%,"$23,401,206",98.6%,2005
Hustle & Flow,"$23,563,727","$22,202,809",94.2%,"$1,360,918",5.8%,2005
Another Public Enemy,"$23,248,003",-,-,"$23,248,003",100%,2005
Domino,"$22,944,502","$10,169,202",44.3%,"$12,775,300",55.7%,2005
The White Massai,"$22,632,255",-,-,"$22,632,255",100%,2005
Manual of Love,"$22,079,820",-,-,"$22,079,820",100%,2005
Torrente 3: El protector,"$21,762,391",-,-,"$21,762,391",100%,2005
Man of the House,"$21,577,624","$19,699,706",91.3%,"$1,877,918",8.7%,2005
Year One in the North,"$21,360,942",-,-,"$21,360,942",100%,2005
The Jacket,"$21,126,225","$6,303,762",29.8%,"$14,822,463",70.2%,2005
The Devil's Rejects,"$20,901,859","$17,044,981",81.5%,"$3,856,878",18.5%,2005
A Moment to Remember,"$20,865,847",-,-,"$20,865,847",100%,2005
Lorelei: The Witch of the Pacific Ocean,"$19,806,585",-,-,"$19,806,585",100%,2005
The Perfect Man,"$19,770,475","$16,535,005",83.6%,"$3,235,470",16.4%,2005
Mapado,"$19,286,223",-,-,"$19,286,223",100%,2005
The Weather Man,"$19,126,398","$12,482,775",65.3%,"$6,643,623",34.7%,2005
Iznogoud- Caliph Instead of the Caliph,"$18,725,588",-,-,"$18,725,588",100%,2005
Detective Conan: Strategy Above the Depths,"$18,723,952",-,-,"$18,723,952",100%,2005
Waiting...,"$18,637,690","$16,124,543",86.5%,"$2,513,147",13.5%,2005
An Unfinished Life,"$18,618,284","$8,586,392",46.1%,"$10,031,892",53.9%,2005
My Father and My Son,"$18,612,999",-,-,"$18,612,999",100%,2005
Keeping Mum,"$18,575,768","$1,619,466",8.7%,"$16,956,302",91.3%,2005
Turetskiy gambit,"$18,520,000",-,-,"$18,520,000",100%,2005
As It Is in Heaven,"$18,318,233",-,-,"$18,318,233",100%,2005
The World's Fastest Indian,"$18,297,690","$5,128,124",28%,"$13,169,566",72%,2005
Night Watch 2005 Re-release,"$17,939,389","$1,502,188",8.4%,"$16,437,201",91.6%,2005
Joyeux Noel,"$17,709,155","$1,054,361",6%,"$16,654,794",94%,2005
You Are My Sunshine,"$17,650,142",-,-,"$17,650,142",100%,2005
Palais royal!,"$17,612,135",-,-,"$17,612,135",100%,2005
Roll Bounce,"$17,500,866","$17,380,866",99.3%,"$120,000",0.7%,2005
Rebound,"$17,492,014","$16,809,014",96.1%,"$683,000",3.9%,2005
Stormy Night,"$17,379,776",-,-,"$17,379,776",100%,2005
The Matador,"$17,347,231","$12,594,698",72.6%,"$4,752,533",27.4%,2005
Aegis,"$16,869,261",-,-,"$16,869,261",100%,2005
Caché (Hidden),"$16,197,824","$3,647,381",22.5%,"$12,550,443",77.5%,2005
The Great Yokai War,"$15,787,492",-,-,"$15,787,492",100%,2005
Kiss Kiss Bang Bang,"$15,785,148","$4,243,756",26.9%,"$11,541,392",73.1%,2005
The Gospel,"$15,778,152","$15,778,152",100%,-,-,2005
Two Sons of Francisco,"$15,508,288",-,-,"$15,508,288",100%,2005
The Greatest Game Ever Played,"$15,431,177","$15,337,393",99.4%,"$93,784",0.6%,2005
Transamerica,"$15,151,744","$9,015,303",59.5%,"$6,136,441",40.5%,2005
"Murder, Take One","$14,915,208",-,-,"$14,915,208",100%,2005
Most Beautiful Week in My Life,"$14,765,033",-,-,"$14,765,033",100%,2005
Samurai Commando Mission 1549,"$14,648,713",-,-,"$14,648,713",100%,2005
Blood Rain,"$14,270,938",-,-,"$14,270,938",100%,2005
Proof,"$14,189,860","$7,535,331",53.1%,"$6,654,529",46.9%,2005
