Release Group,Worldwide,Domestic,%,Foreign,%,Year
Titanic,"$1,843,478,449","$600,788,188",32.6%,"$1,242,690,261",67.4%,1997
Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,1997
Men in Black,"$250,690,539","$250,690,539",100%,-,-,1997
The Lost World: Jurassic Park,"$229,086,679","$229,086,679",100%,-,-,1997
Liar Liar,"$181,410,615","$181,410,615",100%,-,-,1997
Air Force One,"$172,956,409","$172,956,409",100%,-,-,1997
As Good as It Gets,"$148,478,011","$148,478,011",100%,-,-,1997
Good Will Hunting,"$138,433,435","$138,433,435",100%,-,-,1997
Star Wars: Episode IV - A New Hope 1997 Special Edition,"$138,257,865","$138,257,865",100%,-,-,1997
My Best Friend's Wedding,"$127,120,029","$127,120,029",100%,-,-,1997
Tomorrow Never Dies,"$125,304,276","$125,304,276",100%,-,-,1997
Face/Off,"$112,276,146","$112,276,146",100%,-,-,1997
Batman & Robin,"$107,325,195","$107,325,195",100%,-,-,1997
George of the Jungle,"$105,263,257","$105,263,257",100%,-,-,1997
Scream 2,"$101,363,301","$101,363,301",100%,-,-,1997
Con Air,"$101,117,573","$101,117,573",100%,-,-,1997
Contact,"$100,920,329","$100,920,329",100%,-,-,1997
Hercules,"$99,112,101","$99,112,101",100%,-,-,1997
Flubber,"$92,977,226","$92,977,226",100%,-,-,1997
Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%,1997
Conspiracy Theory,"$75,982,834","$75,982,834",100%,-,-,1997
I Know What You Did Last Summer,"$72,586,134","$72,586,134",100%,-,-,1997
Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$67,597,694","$67,597,694",100%,-,-,1997
Dante's Peak,"$67,127,760","$67,127,760",100%,-,-,1997
Anaconda,"$65,885,767","$65,885,767",100%,-,-,1997
L.A. Confidential,"$64,616,940","$64,616,940",100%,-,-,1997
In & Out,"$63,856,929","$63,856,929",100%,-,-,1997
The Fifth Element,"$63,820,180","$63,820,180",100%,-,-,1997
Mousehunt,"$61,917,389","$61,917,389",100%,-,-,1997
The Saint,"$61,363,304","$61,363,304",100%,-,-,1997
The Devil's Advocate,"$60,944,660","$60,944,660",100%,-,-,1997
Kiss the Girls,"$60,527,873","$60,527,873",100%,-,-,1997
Jungle 2 Jungle,"$59,927,618","$59,927,618",100%,-,-,1997
Anastasia,"$58,406,347","$58,406,347",100%,-,-,1997
The Jackal,"$54,930,280","$54,930,280",100%,-,-,1997
Spawn,"$54,870,175","$54,870,175",100%,-,-,1997
Starship Troopers,"$54,814,377","$54,814,377",100%,-,-,1997
Austin Powers: International Man of Mystery,"$53,883,989","$53,883,989",100%,-,-,1997
Breakdown,"$50,159,144","$50,159,144",100%,-,-,1997
Absolute Power,"$50,068,310","$50,068,310",100%,-,-,1997
Volcano,"$49,323,468","$49,323,468",100%,-,-,1997
Speed 2: Cruise Control,"$48,608,066","$48,608,066",100%,-,-,1997
The Game,"$48,323,648","$48,323,648",100%,-,-,1997
G.I. Jane,"$48,169,156","$48,169,156",100%,-,-,1997
Alien: Resurrection,"$47,795,658","$47,795,658",100%,-,-,1997
The Full Monty,"$46,163,699","$45,950,122",99.5%,"$213,577",0.5%,1997
The Rainmaker,"$45,916,769","$45,916,769",100%,-,-,1997
Cop Land,"$44,862,187","$44,862,187",100%,-,-,1997
Nothing to Lose,"$44,480,039","$44,480,039",100%,-,-,1997
Amistad,"$44,229,441","$44,229,441",100%,-,-,1997
Soul Food,"$43,700,855","$43,700,855",100%,-,-,1997
Wag the Dog,"$43,061,945","$43,061,945",100%,-,-,1997
The Devil's Own,"$42,868,348","$42,868,348",100%,-,-,1997
Donnie Brasco,"$41,909,762","$41,909,762",100%,-,-,1997
The Peacemaker,"$41,263,140","$41,263,140",100%,-,-,1997
Private Parts,"$41,230,799","$41,230,799",100%,-,-,1997
Money Talks,"$40,922,619","$40,922,619",100%,-,-,1997
Jackie Brown,"$39,673,162","$39,673,162",100%,-,-,1997
Seven Years in Tibet,"$37,957,682","$37,957,682",100%,-,-,1997
Vegas Vacation,"$36,400,360","$36,400,360",100%,-,-,1997
Mortal Kombat: Annihilation,"$35,927,406","$35,927,406",100%,-,-,1997
Selena,"$35,281,794","$35,281,794",100%,-,-,1997
Addicted to Love,"$34,673,095","$34,673,095",100%,-,-,1997
The Relic,"$33,956,608","$33,956,608",100%,-,-,1997
Metro,"$32,000,301","$32,000,301",100%,-,-,1997
For Richer or Poorer,"$31,642,995","$31,642,995",100%,-,-,1997
Beverly Hills Ninja,"$31,480,418","$31,480,418",100%,-,-,1997
Picture Perfect,"$31,407,873","$31,407,873",100%,-,-,1997
Home Alone 3,"$30,882,515","$30,882,515",100%,-,-,1997
