Release Group,Worldwide,Domestic,%,Foreign,%,Year
Fools Rush In,"$29,481,428","$29,481,428",100%,-,-,1997
Romy and Michele's High School Reunion,"$29,235,353","$29,235,353",100%,-,-,1997
Out to Sea,"$29,022,252","$29,022,252",100%,-,-,1997
Fathers' Day,"$28,598,376","$28,598,376",100%,-,-,1997
Grosse Pointe Blank,"$28,084,357","$28,084,357",100%,-,-,1997
The Edge,"$27,873,386","$27,873,386",100%,-,-,1997
The Little Mermaid 1997 Re-release,"$27,187,616","$27,187,616",100%,-,-,1997
Event Horizon,"$26,673,242","$26,673,242",100%,-,-,1997
An American Werewolf in Paris,"$26,570,463","$26,570,463",100%,-,-,1997
Boogie Nights,"$26,400,640","$26,400,640",100%,-,-,1997
Murder at 1600,"$25,804,707","$25,804,707",100%,-,-,1997
Mimic,"$25,480,490","$25,480,490",100%,-,-,1997
Midnight in the Garden of Good and Evil,"$25,105,255","$25,105,255",100%,-,-,1997
Good Burger,"$23,712,993","$23,712,993",100%,-,-,1997
Hoodlum,"$23,499,102","$23,499,102",100%,-,-,1997
Air Bud,"$23,144,499","$23,144,499",100%,-,-,1997
Red Corner,"$22,459,274","$22,459,274",100%,-,-,1997
Mr. Magoo,"$21,437,192","$21,437,192",100%,-,-,1997
Booty Call,"$20,050,376","$20,050,376",100%,-,-,1997
The Apostle,"$19,868,354","$19,868,354",100%,-,-,1997
Gone Fishin',"$19,745,922","$19,745,922",100%,-,-,1997
Thrill Ride: The Science of Fun,"$18,798,590","$18,798,590",100%,-,-,1997
That Darn Cat,"$18,301,610","$18,301,610",100%,-,-,1997
The Postman,"$17,626,234","$17,626,234",100%,-,-,1997
That Old Feeling,"$16,574,176","$16,574,176",100%,-,-,1997
Fire Down Below,"$16,228,448","$16,228,448",100%,-,-,1997
Wishmaster,"$15,738,769","$15,738,769",100%,-,-,1997
RocketMan,"$15,448,043","$15,448,043",100%,-,-,1997
First Strike,"$15,318,863","$15,318,863",100%,-,-,1997
Eve's Bayou,"$14,842,388","$14,842,388",100%,-,-,1997
The Sixth Man,"$14,772,788","$14,772,788",100%,-,-,1997
Excess Baggage,"$14,515,490","$14,515,490",100%,-,-,1997
FairyTale: A True Story,"$14,059,077","$14,059,077",100%,-,-,1997
How to Be a Player,"$14,009,368","$14,009,368",100%,-,-,1997
The Man Who Knew Too Little,"$13,717,039","$13,717,039",100%,-,-,1997
The Wings of the Dove,"$13,692,848","$13,692,848",100%,-,-,1997
Trial and Error,"$13,602,831","$13,602,831",100%,-,-,1997
Rosewood,"$13,130,349","$13,130,349",100%,-,-,1997
Gattaca,"$12,532,777","$12,532,777",100%,-,-,1997
Love Jones,"$12,479,335","$12,479,335",100%,-,-,1997
Chasing Amy,"$12,021,272","$12,021,272",100%,-,-,1997
Turbulence,"$11,538,235","$11,538,235",100%,-,-,1997
The Beautician and the Beast,"$11,486,880","$11,486,880",100%,-,-,1997
Double Team,"$11,438,337","$11,438,337",100%,-,-,1997
Leave It to Beaver,"$10,925,060","$10,925,060",100%,-,-,1997
Deconstructing Harry,"$10,686,841","$10,686,841",100%,-,-,1997
Mad City,"$10,541,523","$10,541,523",100%,-,-,1997
Operation Condor,"$10,405,394","$10,405,394",100%,-,-,1997
Buddy,"$10,113,400","$10,113,400",100%,-,-,1997
Night Falls on Manhattan,"$9,889,670","$9,889,670",100%,-,-,1997
Shall We Dance?,"$9,499,091","$9,499,091",100%,-,-,1997
Fierce Creatures,"$9,381,260","$9,381,260",100%,-,-,1997
Mrs. Brown,"$9,229,808","$9,229,808",100%,-,-,1997
Ulee's Gold,"$9,161,691","$9,161,691",100%,-,-,1997
Turbo: A Power Rangers Movie,"$8,363,899","$8,363,899",100%,-,-,1997
A Simple Wish,"$8,345,056","$8,345,056",100%,-,-,1997
The Ice Storm,"$8,038,061","$8,038,061",100%,-,-,1997
A Thousand Acres,"$7,936,780","$7,936,780",100%,-,-,1997
Sprung,"$7,575,028","$7,575,028",100%,-,-,1997
Wild America,"$7,342,923","$7,342,923",100%,-,-,1997
She's So Lovely,"$7,281,450","$7,281,450",100%,-,-,1997
B*A*P*S,"$7,246,735","$7,246,735",100%,-,-,1997
Zeus and Roxanne,"$7,233,324","$7,233,324",100%,-,-,1997
U Turn,"$6,682,098","$6,682,098",100%,-,-,1997
Warriors of Virtue,"$6,524,620","$6,524,620",100%,-,-,1997
Switchback,"$6,492,660","$6,492,660",100%,-,-,1997
Most Wanted,"$6,391,946","$6,391,946",100%,-,-,1997
Kull the Conqueror,"$6,112,613","$6,112,613",100%,-,-,1997
The Boxer,"$5,980,578","$5,980,578",100%,-,-,1997
Inventing the Abbotts,"$5,936,344","$5,936,344",100%,-,-,1997
Gang Related,"$5,906,773","$5,906,773",100%,-,-,1997
Kolya,"$5,770,254","$5,770,254",100%,-,-,1997
One Eight Seven,"$5,727,130","$5,727,130",100%,-,-,1997
Kundun,"$5,684,789","$5,684,789",100%,-,-,1997
Gridlock'd,"$5,571,205","$5,571,205",100%,-,-,1997
Dangerous Ground,"$5,303,931","$5,303,931",100%,-,-,1997
Les Boys,"$4,602,341","$4,602,341",100%,-,-,1997
McHale's Navy,"$4,529,843","$4,529,843",100%,-,-,1997
A Life Less Ordinary,"$4,366,722","$4,366,722",100%,-,-,1997
Playing God,"$4,166,918","$4,166,918",100%,-,-,1997
Kama Sutra: A Tale of Love,"$4,109,095","$4,109,095",100%,-,-,1997
Meet Wally Sparks,"$4,073,582","$4,073,582",100%,-,-,1997
Lost Highway,"$3,675,201","$3,675,201",100%,-,-,1997
8 Heads in a Duffel Bag,"$3,602,884","$3,602,884",100%,-,-,1997
The Pest,"$3,600,616","$3,600,616",100%,-,-,1997
Cats Don't Dance,"$3,566,637","$3,566,637",100%,-,-,1997
'Til There Was You,"$3,525,125","$3,525,125",100%,-,-,1997
Free Willy 3: The Rescue,"$3,446,539","$3,446,539",100%,-,-,1997
The MatchMaker,"$3,392,080","$3,392,080",100%,-,-,1997
A Smile Like Yours,"$3,330,352","$3,330,352",100%,-,-,1997
The Sweet Hereafter,"$3,263,585","$3,263,585",100%,-,-,1997
Love! Valour! Compassion!,"$2,977,807","$2,977,807",100%,-,-,1997
Waiting for Guffman,"$2,923,982","$2,923,982",100%,-,-,1997
In the Company of Men,"$2,804,473","$2,804,473",100%,-,-,1997
One Night Stand,"$2,642,983","$2,642,983",100%,-,-,1997
Brassed Off,"$2,576,331","$2,576,331",100%,-,-,1997
Afterglow,"$2,465,960","$2,465,960",100%,-,-,1997
Career Girls,"$2,416,734","$2,416,734",100%,-,-,1997
Smilla's Sense of Snow,"$2,372,903","$2,372,903",100%,-,-,1997
The Pillow Book,"$2,372,744","$2,372,744",100%,-,-,1997
Shadow Conspiracy,"$2,312,463","$2,312,463",100%,-,-,1997
Snowriders II,"$2,287,639","$2,287,639",100%,-,-,1997
Ma vie en rose,"$2,162,043","$2,162,043",100%,-,-,1997
The Daytrippers,"$2,099,677","$2,099,677",100%,-,-,1997
Paradise Road,"$2,007,100","$2,007,100",100%,-,-,1997
Masterminds,"$1,935,539","$1,935,539",100%,-,-,1997
"Kiss Me, Guido","$1,918,497","$1,918,497",100%,-,-,1997
Washington Square,"$1,851,761","$1,851,761",100%,-,-,1997
Steel,"$1,710,972","$1,710,972",100%,-,-,1997
Rhyme & Reason,"$1,608,277","$1,608,277",100%,-,-,1997
City of Industry,"$1,568,258","$1,568,258",100%,-,-,1997
When the Cat's Away,"$1,474,628","$1,474,628",100%,-,-,1997
Ponette,"$1,300,377","$1,300,377",100%,-,-,1997
The Godfather 1997 Re-release,"$1,267,490","$1,267,490",100%,-,-,1997
Temptress Moon,"$1,100,788","$1,100,788",100%,-,-,1997
Blood and Wine,"$1,094,668","$1,094,668",100%,-,-,1997
The Tango Lesson,"$1,080,192","$1,080,192",100%,-,-,1997
Shiloh,"$1,007,822","$1,007,822",100%,-,-,1997
Female Perversions,"$926,954","$926,954",100%,-,-,1997
When Night Is Falling,"$919,671","$919,671",100%,-,-,1997
Guantanamera,"$903,840","$903,840",100%,-,-,1997
"Fast, Cheap & Out of Control","$878,960","$878,960",100%,-,-,1997
The Winter Guest,"$870,290","$870,290",100%,-,-,1997
Anna Karenina,"$858,553","$858,553",100%,-,-,1997
Children of the Revolution,"$838,368","$838,368",100%,-,-,1997
Dirty Dancing 1997 Re-release,"$817,925","$507,892",62.1%,"$310,033",37.9%,1997
Kiss or Kill,"$796,681","$796,681",100%,-,-,1997
Prisoner of the Mountains,"$790,078","$790,078",100%,-,-,1997
Box of Moonlight,"$782,641","$782,641",100%,-,-,1997
The Van,"$712,095","$712,095",100%,-,-,1997
Contempt,"$706,604","$706,604",100%,-,-,1997
