Release Group,Worldwide,Domestic,%,Foreign,%,Year
Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",28.5%,"$90,470,397",71.5%,2012
The Pirates! Band of Misfits,"$123,054,041","$31,051,126",25.2%,"$92,002,915",74.8%,2012
Parental Guidance,"$119,772,232","$77,267,296",64.5%,"$42,504,936",35.5%,2012
Abraham Lincoln: Vampire Hunter,"$116,471,580","$37,519,139",32.2%,"$78,952,441",67.8%,2012
Pitch Perfect,"$115,350,426","$65,001,093",56.4%,"$50,349,333",43.6%,2012
Hope Springs,"$114,281,051","$63,536,011",55.6%,"$50,745,040",44.4%,2012
ParaNorman,"$107,139,399","$56,003,051",52.3%,"$51,136,348",47.7%,2012
The Campaign,"$104,907,746","$86,907,746",82.8%,"$18,000,000",17.2%,2012
Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593","$43,456,382",42.3%,"$59,283,211",57.7%,2012
Project X,"$102,731,865","$54,731,865",53.3%,"$48,000,000",46.7%,2012
The Devil Inside,"$101,758,490","$53,261,944",52.3%,"$48,496,546",47.7%,2012
The Lucky One,"$99,357,138","$60,457,138",60.8%,"$38,900,000",39.2%,2012
Contraband,"$96,262,212","$66,528,000",69.1%,"$29,734,212",30.9%,2012
Think Like a Man,"$96,070,507","$91,547,205",95.3%,"$4,523,302",4.7%,2012
Masquerade,"$94,268,432","$922,921",1%,"$93,345,511",99%,2012
Brave Hearts: Umizaru,"$91,884,352",-,-,"$91,884,352",100%,2012
This Is 40,"$88,215,156","$67,544,505",76.6%,"$20,670,651",23.4%,2012
The Thieves,"$87,126,367","$685,839",0.8%,"$86,440,528",99.2%,2012
The Possession,"$85,446,075","$49,130,154",57.5%,"$36,315,921",42.5%,2012
What to Expect When You're Expecting,"$84,384,002","$41,152,203",48.8%,"$43,231,799",51.2%,2012
Savages,"$82,966,152","$47,382,068",57.1%,"$35,584,084",42.9%,2012
Sinister,"$82,515,113","$48,086,903",58.3%,"$34,428,210",41.7%,2012
Act of Valor,"$82,497,035","$70,012,847",84.9%,"$12,484,188",15.1%,2012
Frankenweenie,"$81,491,068","$35,291,068",43.3%,"$46,200,000",56.7%,2012
The Grey,"$79,781,695","$51,580,236",64.7%,"$28,201,459",35.3%,2012
Diary of a Wimpy Kid: Dog Days,"$77,229,695","$49,008,662",63.5%,"$28,221,033",36.5%,2012
Thermae Romae,"$74,285,251",-,-,"$74,285,251",100%,2012
One Piece Film Z,"$74,223,861",-,-,"$74,223,861",100%,2012
To Rome with Love,"$73,244,881","$16,685,867",22.8%,"$56,559,014",77.2%,2012
Here Comes the Boom,"$73,100,172","$45,290,318",62%,"$27,809,854",38%,2012
Bayside Shakedown the Final,"$72,867,395",-,-,"$72,867,395",100%,2012
The Cabin in the Woods,"$69,935,600","$42,073,277",60.2%,"$27,862,323",39.8%,2012
Finding Nemo 2012 3D Release,"$69,328,283","$41,128,283",59.3%,"$28,200,000",40.7%,2012
Anna Karenina,"$68,929,150","$12,816,367",18.6%,"$56,112,783",81.4%,2012
The Watch,"$68,267,862","$35,353,000",51.8%,"$32,914,862",48.2%,2012
Moonrise Kingdom,"$68,263,166","$45,512,466",66.7%,"$22,750,700",33.3%,2012
The Secret of the Gods,"$67,537,798",-,-,"$67,537,798",100%,2012
Madea's Witness Protection,"$66,899,242","$65,653,242",98.1%,"$1,246,000",1.9%,2012
Beauty and the Beast 2012 3D Release,"$62,767,829","$47,617,067",75.9%,"$15,150,762",24.1%,2012
Astérix and Obélix: God Save Britannia,"$61,319,383",-,-,"$61,319,383",100%,2012
Evangelion: 3.0 You Can (Not) Redo,"$60,488,344","$174,945",0.3%,"$60,313,399",99.7%,2012
Quartet,"$59,520,298","$18,390,117",30.9%,"$41,130,181",69.1%,2012
Rock of Ages,"$59,418,613","$38,518,613",64.8%,"$20,900,000",35.2%,2012
That's My Boy,"$57,719,093","$36,931,089",64%,"$20,788,004",36%,2012
The Odd Life of Timothy Green,"$56,012,642","$51,854,875",92.6%,"$4,157,767",7.4%,2012
Lawless,"$55,404,159","$37,400,127",67.5%,"$18,004,032",32.5%,2012
End of Watch,"$55,078,146","$41,003,371",74.4%,"$14,074,775",25.6%,2012
Wolf Children,"$55,045,228",-,-,"$55,045,228",100%,2012
The Three Stooges,"$54,819,301","$44,338,224",80.9%,"$10,481,077",19.1%,2012
The Five-Year Engagement,"$54,169,363","$28,835,528",53.2%,"$25,333,835",46.8%,2012
Red Dawn,"$50,950,296","$44,806,783",87.9%,"$6,143,513",12.1%,2012
Red Tails,"$50,365,498","$49,876,377",99%,"$489,121",1%,2012
"Monsters, Inc. 2012 3D Release","$50,207,820","$34,043,006",67.8%,"$16,164,814",32.2%,2012
HOUBA! On the Trail of the Marsupilami,"$50,146,474",-,-,"$50,146,474",100%,2012
Tad: The Lost Explorer,"$49,490,859",-,-,"$49,490,859",100%,2012
A Turtle's Tale 2: Sammy's Escape from Paradise,"$49,261,830",-,-,"$49,261,830",100%,2012
Trouble with the Curve,"$48,963,137","$35,763,137",73%,"$13,200,000",27%,2012
Man on a Ledge,"$47,636,031","$18,620,000",39.1%,"$29,016,031",60.9%,2012
A Werewolf Boy,"$46,282,588","$342,922",0.7%,"$45,939,666",99.3%,2012
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,"$46,180,706",-,-,"$46,180,706",100%,2012
Gekijouban Tenpesuto 3D 2012 Re-release,"$46,008,255",-,-,"$46,008,255",100%,2012
Detective Conan: The Eleventh Striker,"$44,369,456",-,-,"$44,369,456",100%,2012
House at the End of the Street,"$44,287,131","$31,611,916",71.4%,"$12,675,215",28.6%,2012
The Guilt Trip,"$41,863,726","$37,134,215",88.7%,"$4,729,511",11.3%,2012
Safe,"$41,564,670","$17,142,080",41.2%,"$24,422,590",58.8%,2012
Dredd,"$41,037,742","$13,414,714",32.7%,"$27,623,028",67.3%,2012
La vérité si je mens! 3,"$40,928,635",-,-,"$40,928,635",100%,2012
Always: Sunset on Third Street '64,"$40,923,305",-,-,"$40,923,305",100%,2012
Chernobyl Diaries,"$38,390,020","$18,119,640",47.2%,"$20,270,380",52.8%,2012
Killing Them Softly,"$37,930,465","$15,026,056",39.6%,"$22,904,409",60.4%,2012
Rurouni Kenshin Part I: Origins,"$37,654,579",-,-,"$37,654,579",100%,2012
The Tower,"$36,512,327",-,-,"$36,512,327",100%,2012
Conquest 1453,"$35,797,045","$35,730",<0.1%,"$35,761,315",99.9%,2012
Good Deeds,"$35,579,177","$35,025,791",98.4%,"$553,386",1.6%,2012
Arbitrage,"$35,485,056","$7,919,574",22.3%,"$27,565,482",77.7%,2012
Welcome to the North,"$34,995,189",-,-,"$34,995,189",100%,2012
Chimpanzee,"$34,823,764","$28,972,764",83.2%,"$5,851,000",16.8%,2012
Alex Cross,"$34,618,867","$25,888,412",74.8%,"$8,730,455",25.2%,2012
Salmon Fishing in the Yemen,"$34,564,651","$9,047,981",26.2%,"$25,516,670",73.8%,2012
Haywire,"$34,513,760","$18,942,396",54.9%,"$15,571,364",45.1%,2012
Adventures in Zambezia,"$34,428,345",-,-,"$34,428,345",100%,2012
Cirque du Soleil: Worlds Away,"$34,153,101","$12,512,862",36.6%,"$21,640,239",63.4%,2012
Three Heroes on Distant Shores,"$33,674,759",-,-,"$33,674,759",100%,2012
2016: Obama's America,"$33,449,086","$33,449,086",100%,-,-,2012
The Perks of Being a Wallflower,"$33,384,127","$17,742,948",53.1%,"$15,641,179",46.9%,2012
Lockout,"$32,948,113","$14,326,864",43.5%,"$18,621,249",56.5%,2012
Bait,"$32,813,407",-,-,"$32,813,407",100%,2012
Part of Me,"$32,726,956","$25,326,071",77.4%,"$7,400,885",22.6%,2012
Nameless Gangster: Rules of the Time,"$32,472,645",-,-,"$32,472,645",100%,2012
Movie 43,"$32,438,988","$8,840,453",27.3%,"$23,598,535",72.7%,2012
Seven Psychopaths,"$32,226,382","$15,024,049",46.6%,"$17,202,333",53.4%,2012
The Floating Castle,"$31,967,471",-,-,"$31,967,471",100%,2012
The Neighbors,"$31,949,315",-,-,"$31,949,315",100%,2012
The Dream Team,"$31,822,402",-,-,"$31,822,402",100%,2012
What's in a Name?,"$31,303,580","$8,111",<0.1%,"$31,295,469",100%,2012
Joyful Noise,"$31,158,113","$30,932,113",99.3%,"$226,000",0.7%,2012
Premium Rush,"$31,083,599","$20,275,446",65.2%,"$10,808,153",34.8%,2012
Playing for Keeps,"$30,962,335","$13,103,272",42.3%,"$17,859,063",57.7%,2012
The Four,"$30,505,808",-,-,"$30,505,808",100%,2012
The Grand Heist,"$30,158,762",-,-,"$30,158,762",100%,2012
The Raven,"$29,699,345","$16,008,272",53.9%,"$13,691,073",46.1%,2012
Amour,"$29,652,180","$6,739,492",22.7%,"$22,912,688",77.3%,2012
All About My Wife,"$29,382,038",-,-,"$29,382,038",100%,2012
Rowdy Rathore,"$29,342,463","$777,373",2.6%,"$28,565,090",97.4%,2012
SPEC: Heaven,"$29,023,960",-,-,"$29,023,960",100%,2012
We Were There: True Love,"$28,876,929",-,-,"$28,876,929",100%,2012
Bol Bachchan,"$28,775,262","$1,216,258",4.2%,"$27,559,004",95.8%,2012
Deranged,"$28,444,173",-,-,"$28,444,173",100%,2012
The Master,"$28,258,060","$16,377,274",58%,"$11,880,786",42%,2012
Hitchcock,"$27,039,669","$6,008,677",22.2%,"$21,030,992",77.8%,2012
Dearest,"$26,723,916",-,-,"$26,723,916",100%,2012
Architecture 101,"$26,642,354",-,-,"$26,642,354",100%,2012
Dancing Queen,"$26,411,266",-,-,"$26,411,266",100%,2012
Lesson of the Evil,"$26,167,224",-,-,"$26,167,224",100%,2012
Agneepath,"$26,001,696","$1,986,748",7.6%,"$24,014,948",92.4%,2012
Rust and Bone,"$25,807,712","$2,062,027",8%,"$23,745,685",92%,2012
Head Over Heels 2,"$25,402,893",-,-,"$25,402,893",100%,2012
On the Other Side of the Tracks,"$25,109,572","$9,572",<0.1%,"$25,100,000",100%,2012
Herutâ sukerutâ,"$25,066,699",-,-,"$25,066,699",100%,2012
The Last Tycoon,"$25,009,914",-,-,"$25,009,914",100%,2012
Housefull 2,"$24,922,847","$1,791,780",7.2%,"$23,131,067",92.8%,2012
Big Miracle,"$24,719,215","$20,157,300",81.5%,"$4,561,915",18.5%,2012
Sparkle,"$24,637,800","$24,397,469",99%,"$240,331",1%,2012
The Players,"$24,629,152","$10,854",<0.1%,"$24,618,298",100%,2012
Liar Game: Reborn,"$24,549,726",-,-,"$24,549,726",100%,2012
I Want You,"$23,961,214",-,-,"$23,961,214",100%,2012
Türkisch für Anfänger,"$23,952,712",-,-,"$23,952,712",100%,2012
Wanderlust,"$23,812,816","$17,450,535",73.3%,"$6,362,281",26.7%,2012
"Little Brother, Big Trouble: A Christmas Adventure","$23,785,681",-,-,"$23,785,681",100%,2012
To the Arctic 3D,"$23,695,388","$14,560,838",61.5%,"$9,134,550",38.5%,2012
Hotaru the Movie: It's Only a Little Light in My Life,"$22,975,341",-,-,"$22,975,341",100%,2012
Kon-Tiki,"$22,842,887","$1,517,410",6.6%,"$21,325,477",93.4%,2012
Fall in Love Like a Star,"$22,640,355",-,-,"$22,640,355",100%,2012
Upside Down,"$22,187,813","$105,095",0.5%,"$22,082,718",99.5%,2012
Unbowed,"$22,132,903",-,-,"$22,132,903",100%,2012
Confession of Murder,"$21,701,525",-,-,"$21,701,525",100%,2012
StreetDance 2 2012 Re-release,"$21,638,853",-,-,"$21,638,853",100%,2012
2012 2012 Re-release,"$21,538,353",-,-,"$21,538,353",100%,2012
Beasts of the Southern Wild,"$21,107,746","$12,795,746",60.6%,"$8,312,000",39.4%,2012
