,Release Group,Worldwide,Domestic,%,Foreign,%.1,Year
0,Independence Day,"$306,169,268","$306,169,268",100%,-,-,1996
1,Twister,"$241,721,524","$241,721,524",100%,-,-,1996
2,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,1996
3,Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-,1996
4,Jerry Maguire,"$153,952,592","$153,952,592",100%,-,-,1996
5,Ransom,"$136,492,681","$136,492,681",100%,-,-,1996
6,101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-,1996
7,The Rock,"$134,069,511","$134,069,511",100%,-,-,1996
8,The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-,1996
9,The Birdcage,"$124,060,553","$124,060,553",100%,-,-,1996
10,A Time to Kill,"$108,766,007","$108,766,007",100%,-,-,1996
11,The First Wives Club,"$105,489,203","$105,489,203",100%,-,-,1996
12,Phenomenon,"$104,636,382","$104,636,382",100%,-,-,1996
13,Scream,"$103,046,663","$103,046,663",100%,-,-,1996
14,Eraser,"$101,295,562","$101,295,562",100%,-,-,1996
15,The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-,1996
16,Michael,"$95,318,203","$95,318,203",100%,-,-,1996
17,Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-,1996
18,Space Jam,"$90,418,342","$90,418,342",100%,-,-,1996
19,The English Patient,"$78,676,425","$78,676,425",100%,-,-,1996
20,Broken Arrow,"$70,770,147","$70,770,147",100%,-,-,1996
21,Evita,"$68,265,837","$50,047,179",73.3%,"$18,218,658",26.7%,1996
22,Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-,1996
23,Jingle All the Way,"$60,592,389","$60,592,389",100%,-,-,1996
24,The Cable Guy,"$60,240,295","$60,240,295",100%,-,-,1996
25,Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-,1996
26,Jack,"$58,620,973","$58,620,973",100%,-,-,1996
27,Executive Decision,"$56,569,216","$56,569,216",100%,-,-,1996
28,Primal Fear,"$56,116,183","$56,116,183",100%,-,-,1996
29,Tin Cup,"$53,854,588","$53,854,588",100%,-,-,1996
30,Sleepers,"$53,315,285","$53,315,285",100%,-,-,1996
31,DragonHeart,"$51,367,375","$51,367,375",100%,-,-,1996
32,Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-,1996
33,The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-,1996
34,Romeo + Juliet,"$46,351,345","$46,351,345",100%,-,-,1996
35,One Fine Day,"$46,151,454","$46,151,454",100%,-,-,1996
36,The Mirror Has Two Faces,"$41,083,864","$41,083,864",100%,-,-,1996
37,Happy Gilmore,"$38,824,099","$38,824,099",100%,-,-,1996
38,The Ghost and the Darkness,"$38,619,405","$38,619,405",100%,-,-,1996
39,Mars Attacks!,"$37,771,017","$37,771,017",100%,-,-,1996
40,Set It Off,"$36,461,139","$36,461,139",100%,-,-,1996
41,Shine,"$35,999,081","$35,892,330",99.7%,"$106,751",0.3%,1996
42,The Truth About Cats & Dogs,"$34,861,807","$34,861,807",100%,-,-,1996
43,A Thin Line Between Love and Hate,"$34,767,836","$34,767,836",100%,-,-,1996
44,Muppet Treasure Island,"$34,327,391","$34,327,391",100%,-,-,1996
45,Matilda,"$33,459,416","$33,459,416",100%,-,-,1996
46,The Long Kiss Goodnight,"$33,447,612","$33,447,612",100%,-,-,1996
47,Striptease,"$33,109,743","$33,109,743",100%,-,-,1996
48,Daylight,"$33,023,469","$33,023,469",100%,-,-,1996
49,Homeward Bound II: Lost in San Francisco,"$32,772,492","$32,772,492",100%,-,-,1996
50,Black Sheep,"$32,417,995","$32,417,995",100%,-,-,1996
51,Rumble in the Bronx,"$32,392,047","$32,392,047",100%,-,-,1996
52,Eddie,"$31,387,164","$31,387,164",100%,-,-,1996
53,Sgt. Bilko,"$30,356,793","$30,356,793",100%,-,-,1996
54,James and the Giant Peach,"$28,946,127","$28,946,127",100%,-,-,1996
55,The Island of Dr. Moreau,"$27,663,982","$27,663,982",100%,-,-,1996
56,Spy Hard,"$26,960,191","$26,960,191",100%,-,-,1996
57,Eye for an Eye,"$26,877,589","$26,877,589",100%,-,-,1996
58,Harriet the Spy,"$26,570,048","$26,570,048",100%,-,-,1996
59,First Kid,"$26,491,793","$26,491,793",100%,-,-,1996
60,That Thing You Do!,"$25,857,416","$25,857,416",100%,-,-,1996
61,From Dusk Till Dawn,"$25,836,684","$25,836,616",100%,$68,<0.1%,1996
62,Down Periscope,"$25,785,603","$25,785,603",100%,-,-,1996
63,Escape from L.A.,"$25,477,365","$25,477,365",100%,-,-,1996
64,Fly Away Home,"$25,143,818","$25,143,818",100%,-,-,1996
65,Kingpin,"$25,023,434","$25,023,434",100%,-,-,1996
66,The Craft,"$24,819,936","$24,819,936",100%,-,-,1996
67,Fargo,"$24,611,975","$24,611,975",100%,-,-,1996
68,Sling Blade,"$24,444,121","$24,444,121",100%,-,-,1996
69,D3: The Mighty Ducks,"$22,955,097","$22,955,097",100%,-,-,1996
70,The Juror,"$22,754,725","$22,754,725",100%,-,-,1996
71,My Fellow Americans,"$22,313,201","$22,313,201",100%,-,-,1996
72,Emma,"$22,231,658","$22,231,658",100%,-,-,1996
73,The Quest,"$21,686,547","$21,686,547",100%,-,-,1996
74,Bulletproof,"$21,576,954","$21,576,954",100%,-,-,1996
75,A Very Brady Sequel,"$21,440,752","$21,440,752",100%,-,-,1996
76,High School High,"$21,302,121","$21,302,121",100%,-,-,1996
77,Chain Reaction,"$21,226,204","$21,226,204",100%,-,-,1996
78,Multiplicity,"$21,075,014","$21,075,014",100%,-,-,1996
79,Oliver & Company 1996 Re-release,"$20,872,291","$20,872,291",100%,-,-,1996
80,Fear,"$20,831,000","$20,831,000",100%,-,-,1996
81,The Glimmer Man,"$20,351,264","$20,351,264",100%,-,-,1996
82,City Hall,"$20,340,204","$20,340,204",100%,-,-,1996
83,The People vs. Larry Flynt,"$20,300,385","$20,300,385",100%,-,-,1996
84,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$20,109,115","$20,109,115",100%,-,-,1996
85,Flipper,"$20,080,020","$20,080,020",100%,-,-,1996
86,Mother,"$19,145,198","$19,145,198",100%,-,-,1996
87,Bed of Roses,"$19,030,691","$19,030,691",100%,-,-,1996
88,Kazaam,"$18,937,262","$18,937,262",100%,-,-,1996
89,The Fan,"$18,626,419","$18,626,419",100%,-,-,1996
90,Last Man Standing,"$18,115,927","$18,115,927",100%,-,-,1996
91,The Crow: City of Angels,"$17,917,287","$17,917,287",100%,-,-,1996
92,Extreme Measures,"$17,380,126","$17,380,126",100%,-,-,1996
93,The Phantom,"$17,323,326","$17,323,326",100%,-,-,1996
94,Fled,"$17,193,231","$17,193,231",100%,-,-,1996
95,Diabolique,"$17,100,266","$17,100,266",100%,-,-,1996
96,The Frighteners,"$16,759,216","$16,759,216",100%,-,-,1996
97,Trainspotting,"$16,491,080","$16,491,080",100%,-,-,1996
98,Supercop,"$16,270,600","$16,270,600",100%,-,-,1996
99,Thinner,"$15,315,484","$15,315,484",100%,-,-,1996
100,The Adventures of Pinocchio,"$15,094,530","$15,094,530",100%,-,-,1996
101,The Substitute,"$14,818,176","$14,818,176",100%,-,-,1996
102,Flirting with Disaster,"$14,702,438","$14,702,438",100%,-,-,1996
103,The Chamber,"$14,551,359","$14,551,359",100%,-,-,1996
104,Maximum Risk,"$14,502,483","$14,502,483",100%,-,-,1996
105,In Love and War,"$14,481,231","$14,481,231",100%,-,-,1996
106,The Arrival,"$14,063,331","$14,063,331",100%,-,-,1996
107,Bio-Dome,"$13,427,615","$13,427,615",100%,-,-,1996
108,Secrets & Lies,"$13,417,292","$13,417,292",100%,-,-,1996
109,Ghosts of Mississippi,"$13,323,144","$13,323,144",100%,-,-,1996
110,The Associate,"$12,844,057","$12,844,057",100%,-,-,1996
111,Mr. Wrong,"$12,825,141","$12,825,141",100%,-,-,1996
112,Marvin's Room,"$12,803,305","$12,803,305",100%,-,-,1996
113,The Evening Star,"$12,767,815","$12,767,815",100%,-,-,1996
114,The Spitfire Grill,"$12,658,486","$12,658,486",100%,-,-,1996
115,Lone Star,"$12,408,986","$12,408,986",100%,-,-,1996
116,Big Night,"$12,008,376","$12,008,376",100%,-,-,1996
117,Alaska,"$11,829,959","$11,829,959",100%,-,-,1996
118,Mulholland Falls,"$11,526,099","$11,526,099",100%,-,-,1996
119,2 Days in the Valley,"$11,132,210","$11,132,210",100%,-,-,1996
120,Michael Collins,"$11,092,559","$11,092,559",100%,-,-,1996
121,Two If by Sea,"$10,658,278","$10,658,278",100%,-,-,1996
122,Beautiful Girls,"$10,597,759","$10,597,759",100%,-,-,1996
123,White Squall,"$10,292,300","$10,292,300",100%,-,-,1996
124,Sunset Park,"$10,163,782","$10,163,782",100%,-,-,1996
125,A Family Thing,"$10,125,417","$10,125,417",100%,-,-,1996
126,Mrs. Winterbourne,"$10,082,005","$10,082,005",100%,-,-,1996
127,Dunston Checks In,"$9,871,065","$9,871,065",100%,-,-,1996
128,Everyone Says I Love You,"$9,759,200","$9,759,200",100%,-,-,1996
129,She's the One,"$9,538,948","$9,538,948",100%,-,-,1996
130,Hellraiser: Bloodline,"$9,336,886","$9,336,886",100%,-,-,1996
131,Celtic Pride,"$9,255,027","$9,255,027",100%,-,-,1996
132,Before and After,"$8,797,839","$8,797,839",100%,-,-,1996
133,All Dogs Go to Heaven 2,"$8,620,678","$8,620,678",100%,-,-,1996
134,The Rich Man's Wife,"$8,543,587","$8,543,587",100%,-,-,1996
135,Larger Than Life,"$8,315,693","$8,315,693",100%,-,-,1996
136,The Great White Hype,"$8,008,255","$8,008,255",100%,-,-,1996
137,The Crucible,"$7,343,114","$7,343,114",100%,-,-,1996
138,Dear God,"$7,138,523","$7,138,523",100%,-,-,1996
139,House Arrest,"$7,032,782","$7,032,782",100%,-,-,1996
140,Last Dance,"$5,939,449","$5,939,449",100%,-,-,1996
141,Bordello of Blood,"$5,781,045","$5,781,045",100%,-,-,1996
142,Get on the Bus,"$5,754,249","$5,754,249",100%,-,-,1996
143,Screamers,"$5,711,695","$5,711,695",100%,-,-,1996
144,Mary Reilly,"$5,707,094","$5,707,094",100%,-,-,1996
145,Cold Comfort Farm,"$5,682,429","$5,682,429",100%,-,-,1996
146,The Pallbearer,"$5,656,388","$5,656,388",100%,-,-,1996
147,Jane Eyre,"$5,200,601","$5,200,601",100%,-,-,1996
148,Solo,"$5,107,669","$5,107,669",100%,-,-,1996
149,Heaven's Prisoners,"$5,009,305","$5,009,305",100%,-,-,1996
150,Girl 6,"$4,939,939","$4,939,939",100%,-,-,1996
151,Stealing Beauty,"$4,762,310","$4,722,310",99.2%,"$40,000",0.8%,1996
152,Hamlet,"$4,739,189","$4,708,156",99.3%,"$31,033",0.7%,1996
153,Joe's Apartment,"$4,619,014","$4,619,014",100%,-,-,1996
154,Welcome to the Dollhouse,"$4,569,019","$4,569,019",100%,-,-,1996
155,Swingers,"$4,555,020","$4,555,020",100%,-,-,1996
156,Ed,"$4,422,380","$4,422,380",100%,-,-,1996
157,Bogus,"$4,357,406","$4,357,406",100%,-,-,1996
158,Antonia's Line,"$4,249,321","$4,228,275",99.5%,"$21,046",0.5%,1996
159,To Gillian on Her 37th Birthday,"$4,189,233","$4,189,233",100%,-,-,1996
160,Breaking the Waves,"$3,803,298","$3,803,298",100%,-,-,1996
161,Bound,"$3,802,260","$3,802,260",100%,-,-,1996
162,Barb Wire,"$3,793,614","$3,793,614",100%,-,-,1996
163,Original Gangstas,"$3,718,087","$3,718,087",100%,-,-,1996
164,The Portrait of a Lady,"$3,692,836","$3,692,836",100%,-,-,1996
165,The Trigger Effect,"$3,622,979","$3,622,979",100%,-,-,1996
166,Moll Flanders,"$3,486,957","$3,486,957",100%,-,-,1996
167,Angels and Insects,"$3,414,301","$3,414,301",100%,-,-,1996
168,Carpool,"$3,325,651","$3,325,651",100%,-,-,1996
169,Feeling Minnesota,"$3,124,440","$3,124,440",100%,-,-,1996
170,Basquiat,"$3,011,195","$3,011,195",100%,-,-,1996
171,Unforgettable,"$2,821,671","$2,821,671",100%,-,-,1996
172,When We Were Kings,"$2,789,985","$2,789,985",100%,-,-,1996
173,Crash,"$2,664,812","$2,664,812",100%,-,-,1996
174,Kids in the Hall: Brain Candy,"$2,654,308","$2,654,308",100%,-,-,1996
175,The Stupids,"$2,491,989","$2,491,989",100%,-,-,1996
176,If Lucy Fell,"$2,420,162","$2,420,162",100%,-,-,1996
177,Lawnmower Man 2: Beyond Cyberspace,"$2,409,225","$2,409,225",100%,-,-,1996
178,Once Upon a Time... When We Were Colored,"$2,291,255","$2,291,255",100%,-,-,1996
179,Palermo-Milan One Way,"$2,269,305",-,-,"$2,269,305",100%,1996
180,Faithful,"$2,104,439","$2,104,439",100%,-,-,1996
181,Snowriders,"$2,068,490","$2,068,490",100%,-,-,1996
182,Big Bully,"$2,042,530","$2,042,530",100%,-,-,1996
183,Surviving Picasso,"$2,021,348","$2,021,348",100%,-,-,1996
184,Ridicule,"$1,979,768","$1,979,768",100%,-,-,1996
185,Vertigo 1996 Restored 70mm,"$1,967,552","$1,967,552",100%,-,-,1996
186,Race the Sun,"$1,945,552","$1,945,552",100%,-,-,1996
187,I Shot Andy Warhol,"$1,875,527","$1,875,527",100%,-,-,1996
188,Beautiful Thing,"$1,548,120","$1,548,120",100%,-,-,1996
189,Microcosmos,"$1,433,210","$1,433,210",100%,-,-,1996
190,Looking for Richard,"$1,408,575","$1,408,575",100%,-,-,1996
191,The Celluloid Closet,"$1,400,591","$1,400,591",100%,-,-,1996
192,Phat Beach,"$1,383,553","$1,383,553",100%,-,-,1996
193,Kansas City,"$1,356,329","$1,356,329",100%,-,-,1996
194,Nueba Yol 3: Bajo la nueva ley,"$1,354,652","$1,354,652",100%,-,-,1996
195,Anne Frank Remembered,"$1,310,200","$1,310,200",100%,-,-,1996
196,Walking and Talking,"$1,287,480","$1,287,480",100%,-,-,1996
197,The Funeral,"$1,227,324","$1,227,324",100%,-,-,1996
198,Two Much,"$1,141,556","$1,141,556",100%,-,-,1996
199,Bad Moon,"$1,055,525","$1,055,525",100%,-,-,1996
200,Titanic,"$1,843,478,449","$600,788,188",32.6%,"$1,242,690,261",67.4%,1997
201,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,1997
202,Men in Black,"$250,690,539","$250,690,539",100%,-,-,1997
203,The Lost World: Jurassic Park,"$229,086,679","$229,086,679",100%,-,-,1997
204,Liar Liar,"$181,410,615","$181,410,615",100%,-,-,1997
205,Air Force One,"$172,956,409","$172,956,409",100%,-,-,1997
206,As Good as It Gets,"$148,478,011","$148,478,011",100%,-,-,1997
207,Good Will Hunting,"$138,433,435","$138,433,435",100%,-,-,1997
208,Star Wars: Episode IV - A New Hope 1997 Special Edition,"$138,257,865","$138,257,865",100%,-,-,1997
209,My Best Friend's Wedding,"$127,120,029","$127,120,029",100%,-,-,1997
210,Tomorrow Never Dies,"$125,304,276","$125,304,276",100%,-,-,1997
211,Face/Off,"$112,276,146","$112,276,146",100%,-,-,1997
212,Batman & Robin,"$107,325,195","$107,325,195",100%,-,-,1997
213,George of the Jungle,"$105,263,257","$105,263,257",100%,-,-,1997
214,Scream 2,"$101,363,301","$101,363,301",100%,-,-,1997
215,Con Air,"$101,117,573","$101,117,573",100%,-,-,1997
216,Contact,"$100,920,329","$100,920,329",100%,-,-,1997
217,Hercules,"$99,112,101","$99,112,101",100%,-,-,1997
218,Flubber,"$92,977,226","$92,977,226",100%,-,-,1997
219,Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%,1997
220,Conspiracy Theory,"$75,982,834","$75,982,834",100%,-,-,1997
221,I Know What You Did Last Summer,"$72,586,134","$72,586,134",100%,-,-,1997
222,Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$67,597,694","$67,597,694",100%,-,-,1997
223,Dante's Peak,"$67,127,760","$67,127,760",100%,-,-,1997
224,Anaconda,"$65,885,767","$65,885,767",100%,-,-,1997
225,L.A. Confidential,"$64,616,940","$64,616,940",100%,-,-,1997
226,In & Out,"$63,856,929","$63,856,929",100%,-,-,1997
227,The Fifth Element,"$63,820,180","$63,820,180",100%,-,-,1997
228,Mousehunt,"$61,917,389","$61,917,389",100%,-,-,1997
229,The Saint,"$61,363,304","$61,363,304",100%,-,-,1997
230,The Devil's Advocate,"$60,944,660","$60,944,660",100%,-,-,1997
231,Kiss the Girls,"$60,527,873","$60,527,873",100%,-,-,1997
232,Jungle 2 Jungle,"$59,927,618","$59,927,618",100%,-,-,1997
233,Anastasia,"$58,406,347","$58,406,347",100%,-,-,1997
234,The Jackal,"$54,930,280","$54,930,280",100%,-,-,1997
235,Spawn,"$54,870,175","$54,870,175",100%,-,-,1997
236,Starship Troopers,"$54,814,377","$54,814,377",100%,-,-,1997
237,Austin Powers: International Man of Mystery,"$53,883,989","$53,883,989",100%,-,-,1997
238,Breakdown,"$50,159,144","$50,159,144",100%,-,-,1997
239,Absolute Power,"$50,068,310","$50,068,310",100%,-,-,1997
240,Volcano,"$49,323,468","$49,323,468",100%,-,-,1997
241,Speed 2: Cruise Control,"$48,608,066","$48,608,066",100%,-,-,1997
242,The Game,"$48,323,648","$48,323,648",100%,-,-,1997
243,G.I. Jane,"$48,169,156","$48,169,156",100%,-,-,1997
244,Alien: Resurrection,"$47,795,658","$47,795,658",100%,-,-,1997
245,The Full Monty,"$46,163,699","$45,950,122",99.5%,"$213,577",0.5%,1997
246,The Rainmaker,"$45,916,769","$45,916,769",100%,-,-,1997
247,Cop Land,"$44,862,187","$44,862,187",100%,-,-,1997
248,Nothing to Lose,"$44,480,039","$44,480,039",100%,-,-,1997
249,Amistad,"$44,229,441","$44,229,441",100%,-,-,1997
250,Soul Food,"$43,700,855","$43,700,855",100%,-,-,1997
251,Wag the Dog,"$43,061,945","$43,061,945",100%,-,-,1997
252,The Devil's Own,"$42,868,348","$42,868,348",100%,-,-,1997
253,Donnie Brasco,"$41,909,762","$41,909,762",100%,-,-,1997
254,The Peacemaker,"$41,263,140","$41,263,140",100%,-,-,1997
255,Private Parts,"$41,230,799","$41,230,799",100%,-,-,1997
256,Money Talks,"$40,922,619","$40,922,619",100%,-,-,1997
257,Jackie Brown,"$39,673,162","$39,673,162",100%,-,-,1997
258,Seven Years in Tibet,"$37,957,682","$37,957,682",100%,-,-,1997
259,Vegas Vacation,"$36,400,360","$36,400,360",100%,-,-,1997
260,Mortal Kombat: Annihilation,"$35,927,406","$35,927,406",100%,-,-,1997
261,Selena,"$35,281,794","$35,281,794",100%,-,-,1997
262,Addicted to Love,"$34,673,095","$34,673,095",100%,-,-,1997
263,The Relic,"$33,956,608","$33,956,608",100%,-,-,1997
264,Metro,"$32,000,301","$32,000,301",100%,-,-,1997
265,For Richer or Poorer,"$31,642,995","$31,642,995",100%,-,-,1997
266,Beverly Hills Ninja,"$31,480,418","$31,480,418",100%,-,-,1997
267,Picture Perfect,"$31,407,873","$31,407,873",100%,-,-,1997
268,Home Alone 3,"$30,882,515","$30,882,515",100%,-,-,1997
269,Fools Rush In,"$29,481,428","$29,481,428",100%,-,-,1997
270,Romy and Michele's High School Reunion,"$29,235,353","$29,235,353",100%,-,-,1997
271,Out to Sea,"$29,022,252","$29,022,252",100%,-,-,1997
272,Fathers' Day,"$28,598,376","$28,598,376",100%,-,-,1997
273,Grosse Pointe Blank,"$28,084,357","$28,084,357",100%,-,-,1997
274,The Edge,"$27,873,386","$27,873,386",100%,-,-,1997
275,The Little Mermaid 1997 Re-release,"$27,187,616","$27,187,616",100%,-,-,1997
276,Event Horizon,"$26,673,242","$26,673,242",100%,-,-,1997
277,An American Werewolf in Paris,"$26,570,463","$26,570,463",100%,-,-,1997
278,Boogie Nights,"$26,400,640","$26,400,640",100%,-,-,1997
279,Murder at 1600,"$25,804,707","$25,804,707",100%,-,-,1997
280,Mimic,"$25,480,490","$25,480,490",100%,-,-,1997
281,Midnight in the Garden of Good and Evil,"$25,105,255","$25,105,255",100%,-,-,1997
282,Good Burger,"$23,712,993","$23,712,993",100%,-,-,1997
283,Hoodlum,"$23,499,102","$23,499,102",100%,-,-,1997
284,Air Bud,"$23,144,499","$23,144,499",100%,-,-,1997
285,Red Corner,"$22,459,274","$22,459,274",100%,-,-,1997
286,Mr. Magoo,"$21,437,192","$21,437,192",100%,-,-,1997
287,Booty Call,"$20,050,376","$20,050,376",100%,-,-,1997
288,The Apostle,"$19,868,354","$19,868,354",100%,-,-,1997
289,Gone Fishin',"$19,745,922","$19,745,922",100%,-,-,1997
290,Thrill Ride: The Science of Fun,"$18,798,590","$18,798,590",100%,-,-,1997
291,That Darn Cat,"$18,301,610","$18,301,610",100%,-,-,1997
292,The Postman,"$17,626,234","$17,626,234",100%,-,-,1997
293,That Old Feeling,"$16,574,176","$16,574,176",100%,-,-,1997
294,Fire Down Below,"$16,228,448","$16,228,448",100%,-,-,1997
295,Wishmaster,"$15,738,769","$15,738,769",100%,-,-,1997
296,RocketMan,"$15,448,043","$15,448,043",100%,-,-,1997
297,First Strike,"$15,318,863","$15,318,863",100%,-,-,1997
298,Eve's Bayou,"$14,842,388","$14,842,388",100%,-,-,1997
299,The Sixth Man,"$14,772,788","$14,772,788",100%,-,-,1997
300,Excess Baggage,"$14,515,490","$14,515,490",100%,-,-,1997
301,FairyTale: A True Story,"$14,059,077","$14,059,077",100%,-,-,1997
302,How to Be a Player,"$14,009,368","$14,009,368",100%,-,-,1997
303,The Man Who Knew Too Little,"$13,717,039","$13,717,039",100%,-,-,1997
304,The Wings of the Dove,"$13,692,848","$13,692,848",100%,-,-,1997
305,Trial and Error,"$13,602,831","$13,602,831",100%,-,-,1997
306,Rosewood,"$13,130,349","$13,130,349",100%,-,-,1997
307,Gattaca,"$12,532,777","$12,532,777",100%,-,-,1997
308,Love Jones,"$12,479,335","$12,479,335",100%,-,-,1997
309,Chasing Amy,"$12,021,272","$12,021,272",100%,-,-,1997
310,Turbulence,"$11,538,235","$11,538,235",100%,-,-,1997
311,The Beautician and the Beast,"$11,486,880","$11,486,880",100%,-,-,1997
312,Double Team,"$11,438,337","$11,438,337",100%,-,-,1997
313,Leave It to Beaver,"$10,925,060","$10,925,060",100%,-,-,1997
314,Deconstructing Harry,"$10,686,841","$10,686,841",100%,-,-,1997
315,Mad City,"$10,541,523","$10,541,523",100%,-,-,1997
316,Operation Condor,"$10,405,394","$10,405,394",100%,-,-,1997
317,Buddy,"$10,113,400","$10,113,400",100%,-,-,1997
318,Night Falls on Manhattan,"$9,889,670","$9,889,670",100%,-,-,1997
319,Shall We Dance?,"$9,499,091","$9,499,091",100%,-,-,1997
320,Fierce Creatures,"$9,381,260","$9,381,260",100%,-,-,1997
321,Mrs. Brown,"$9,229,808","$9,229,808",100%,-,-,1997
322,Ulee's Gold,"$9,161,691","$9,161,691",100%,-,-,1997
323,Turbo: A Power Rangers Movie,"$8,363,899","$8,363,899",100%,-,-,1997
324,A Simple Wish,"$8,345,056","$8,345,056",100%,-,-,1997
325,The Ice Storm,"$8,038,061","$8,038,061",100%,-,-,1997
326,A Thousand Acres,"$7,936,780","$7,936,780",100%,-,-,1997
327,Sprung,"$7,575,028","$7,575,028",100%,-,-,1997
328,Wild America,"$7,342,923","$7,342,923",100%,-,-,1997
329,She's So Lovely,"$7,281,450","$7,281,450",100%,-,-,1997
330,B*A*P*S,"$7,246,735","$7,246,735",100%,-,-,1997
331,Zeus and Roxanne,"$7,233,324","$7,233,324",100%,-,-,1997
332,U Turn,"$6,682,098","$6,682,098",100%,-,-,1997
333,Warriors of Virtue,"$6,524,620","$6,524,620",100%,-,-,1997
334,Switchback,"$6,492,660","$6,492,660",100%,-,-,1997
335,Most Wanted,"$6,391,946","$6,391,946",100%,-,-,1997
336,Kull the Conqueror,"$6,112,613","$6,112,613",100%,-,-,1997
337,The Boxer,"$5,980,578","$5,980,578",100%,-,-,1997
338,Inventing the Abbotts,"$5,936,344","$5,936,344",100%,-,-,1997
339,Gang Related,"$5,906,773","$5,906,773",100%,-,-,1997
340,Kolya,"$5,770,254","$5,770,254",100%,-,-,1997
341,One Eight Seven,"$5,727,130","$5,727,130",100%,-,-,1997
342,Kundun,"$5,684,789","$5,684,789",100%,-,-,1997
343,Gridlock'd,"$5,571,205","$5,571,205",100%,-,-,1997
344,Dangerous Ground,"$5,303,931","$5,303,931",100%,-,-,1997
345,Les Boys,"$4,602,341","$4,602,341",100%,-,-,1997
346,McHale's Navy,"$4,529,843","$4,529,843",100%,-,-,1997
347,A Life Less Ordinary,"$4,366,722","$4,366,722",100%,-,-,1997
348,Playing God,"$4,166,918","$4,166,918",100%,-,-,1997
349,Kama Sutra: A Tale of Love,"$4,109,095","$4,109,095",100%,-,-,1997
350,Meet Wally Sparks,"$4,073,582","$4,073,582",100%,-,-,1997
351,Lost Highway,"$3,675,201","$3,675,201",100%,-,-,1997
352,8 Heads in a Duffel Bag,"$3,602,884","$3,602,884",100%,-,-,1997
353,The Pest,"$3,600,616","$3,600,616",100%,-,-,1997
354,Cats Don't Dance,"$3,566,637","$3,566,637",100%,-,-,1997
355,'Til There Was You,"$3,525,125","$3,525,125",100%,-,-,1997
356,Free Willy 3: The Rescue,"$3,446,539","$3,446,539",100%,-,-,1997
357,The MatchMaker,"$3,392,080","$3,392,080",100%,-,-,1997
358,A Smile Like Yours,"$3,330,352","$3,330,352",100%,-,-,1997
359,The Sweet Hereafter,"$3,263,585","$3,263,585",100%,-,-,1997
360,Love! Valour! Compassion!,"$2,977,807","$2,977,807",100%,-,-,1997
361,Waiting for Guffman,"$2,923,982","$2,923,982",100%,-,-,1997
362,In the Company of Men,"$2,804,473","$2,804,473",100%,-,-,1997
363,One Night Stand,"$2,642,983","$2,642,983",100%,-,-,1997
364,Brassed Off,"$2,576,331","$2,576,331",100%,-,-,1997
365,Afterglow,"$2,465,960","$2,465,960",100%,-,-,1997
366,Career Girls,"$2,416,734","$2,416,734",100%,-,-,1997
367,Smilla's Sense of Snow,"$2,372,903","$2,372,903",100%,-,-,1997
368,The Pillow Book,"$2,372,744","$2,372,744",100%,-,-,1997
369,Shadow Conspiracy,"$2,312,463","$2,312,463",100%,-,-,1997
370,Snowriders II,"$2,287,639","$2,287,639",100%,-,-,1997
371,Ma vie en rose,"$2,162,043","$2,162,043",100%,-,-,1997
372,The Daytrippers,"$2,099,677","$2,099,677",100%,-,-,1997
373,Paradise Road,"$2,007,100","$2,007,100",100%,-,-,1997
374,Masterminds,"$1,935,539","$1,935,539",100%,-,-,1997
375,"Kiss Me, Guido","$1,918,497","$1,918,497",100%,-,-,1997
376,Washington Square,"$1,851,761","$1,851,761",100%,-,-,1997
377,Steel,"$1,710,972","$1,710,972",100%,-,-,1997
378,Rhyme & Reason,"$1,608,277","$1,608,277",100%,-,-,1997
379,City of Industry,"$1,568,258","$1,568,258",100%,-,-,1997
380,When the Cat's Away,"$1,474,628","$1,474,628",100%,-,-,1997
381,Ponette,"$1,300,377","$1,300,377",100%,-,-,1997
382,The Godfather 1997 Re-release,"$1,267,490","$1,267,490",100%,-,-,1997
383,Temptress Moon,"$1,100,788","$1,100,788",100%,-,-,1997
384,Blood and Wine,"$1,094,668","$1,094,668",100%,-,-,1997
385,The Tango Lesson,"$1,080,192","$1,080,192",100%,-,-,1997
386,Shiloh,"$1,007,822","$1,007,822",100%,-,-,1997
387,Female Perversions,"$926,954","$926,954",100%,-,-,1997
388,When Night Is Falling,"$919,671","$919,671",100%,-,-,1997
389,Guantanamera,"$903,840","$903,840",100%,-,-,1997
390,"Fast, Cheap & Out of Control","$878,960","$878,960",100%,-,-,1997
391,The Winter Guest,"$870,290","$870,290",100%,-,-,1997
