Release Group,Worldwide,Domestic,%,Foreign,%,Year
Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%,2006
The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%,2006
Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%,2006
The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%,2006
Doomsday: The Sinking of Japan,"$51,127,401",-,-,"$51,127,401",100%,2006
Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%,2006
An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%,2006
The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%,2006
The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%,2006
Suite Dreams,"$48,090,431",-,-,"$48,090,431",100%,2006
Death Note: The Last Name,"$47,917,637",-,-,"$47,917,637",100%,2006
Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%,2006
The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%,2006
We Are Marshall,"$43,545,364","$43,545,364",100%,-,-,2006
Last Holiday,"$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%,2006
Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%,2006
Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%,2006
Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%,2006
A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%,2006
200 Pounds Beauty,"$42,013,016",-,-,"$42,013,016",100%,2006
Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%,2006
Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%,2006
Scoop,"$39,220,946","$10,525,717",26.8%,"$28,695,229",73.2%,2006
Tazza: The High Rollers,"$39,212,715",-,-,"$39,212,715",100%,2006
The Wicker Man,"$38,805,380","$23,649,127",60.9%,"$15,156,253",39.1%,2006
Basic Instinct 2,"$38,629,478","$5,971,336",15.5%,"$32,658,142",84.5%,2006
Accepted,"$38,623,262","$36,323,505",94%,"$2,299,757",6%,2006
Day Watch,"$38,411,815",-,-,"$38,411,815",100%,2006
Employee of the Month,"$38,395,414","$28,444,855",74.1%,"$9,950,559",25.9%,2006
Just My Luck,"$38,159,905","$17,326,650",45.4%,"$20,833,255",54.6%,2006
Camping,"$37,912,041",-,-,"$37,912,041",100%,2006
The Covenant,"$37,598,767","$23,380,495",62.2%,"$14,218,272",37.8%,2006
Miss Potter,"$35,078,241","$3,005,605",8.6%,"$32,072,636",91.4%,2006
Bambi and the Great Prince of the Forest,"$34,958,637",-,-,"$34,958,637",100%,2006
Love and Honour,"$33,755,574","$60,910",0.2%,"$33,694,664",99.8%,2006
Tell No One,"$33,406,992","$6,177,192",18.5%,"$27,229,800",81.5%,2006
7 Dwarves: The Forest Is Not Enough,"$32,863,752",-,-,"$32,863,752",100%,2006
Dhoom 2,"$32,396,427","$2,643,586",8.2%,"$29,752,841",91.8%,2006
Stick It,"$31,976,848","$26,910,736",84.2%,"$5,066,112",15.8%,2006
Deutschland. Ein Sommermärchen,"$31,257,991",-,-,"$31,257,991",100%,2006
Ultraviolet,"$31,070,211","$18,535,812",59.7%,"$12,534,399",40.3%,2006
Doraemon the Movie: Nobita's Dinosaur,"$30,963,292",-,-,"$30,963,292",100%,2006
Twosabu ilchae,"$30,622,421",-,-,"$30,622,421",100%,2006
Natale a New York,"$30,437,121",-,-,"$30,437,121",100%,2006
I Do: How to Get Married and Stay Single,"$30,057,369",-,-,"$30,057,369",100%,2006
Pulse,"$29,907,685","$20,264,436",67.8%,"$9,643,249",32.2%,2006
Death Note,"$29,630,359",-,-,"$29,630,359",100%,2006
An American Haunting,"$29,612,137","$16,298,046",55%,"$13,314,091",45%,2006
The Valet,"$29,414,553","$1,926,800",6.6%,"$27,487,753",93.4%,2006
Tristan + Isolde,"$28,047,963","$14,734,633",52.5%,"$13,313,330",47.5%,2006
Priceless,"$27,949,650","$2,165,188",7.7%,"$25,784,462",92.3%,2006
Pokémon Ranger and the Temple of the Sea,"$27,638,625",-,-,"$27,638,625",100%,2006
Stay Alive,"$27,298,695","$23,086,480",84.6%,"$4,212,215",15.4%,2006
Clerks II,"$26,984,975","$24,148,068",89.5%,"$2,836,907",10.5%,2006
The Painted Veil,"$26,910,847","$8,060,487",30%,"$18,850,360",70%,2006
Black Book,"$26,768,563","$4,398,532",16.4%,"$22,370,031",83.6%,2006
Detective Conan: The Private Eyes' Requiem,"$26,251,232",-,-,"$26,251,232",100%,2006
A Prairie Home Companion,"$25,978,867","$20,342,852",78.3%,"$5,636,015",21.7%,2006
You Are So Beautiful,"$25,329,576",-,-,"$25,329,576",100%,2006
Nada sô sô,"$25,300,338",-,-,"$25,300,338",100%,2006
Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444",13%,"$21,953,724",87%,2006
School for Scoundrels,"$23,947,685","$17,807,569",74.4%,"$6,140,116",25.6%,2006
Stormbreaker,"$23,937,870","$677,646",2.8%,"$23,260,224",97.2%,2006
Il mio miglior nemico,"$23,710,143",-,-,"$23,710,143",100%,2006
Valley of the Wolves: Iraq,"$23,465,471",-,-,"$23,465,471",100%,2006
Captain Alatriste: The Spanish Musketeer,"$23,321,954",-,-,"$23,321,954",100%,2006
"OSS 117: Cairo, Nest of Spies","$23,055,884","$303,543",1.3%,"$22,752,341",98.7%,2006
Aquamarine,"$22,989,957","$18,597,342",80.9%,"$4,392,615",19.1%,2006
Days of Glory,"$22,963,701","$320,700",1.4%,"$22,643,001",98.6%,2006
The Wind that Shakes the Barley,"$22,899,908","$1,836,089",8%,"$21,063,819",92%,2006
The Banquet,"$22,598,772",-,-,"$22,598,772",100%,2006
Astérix et les Vikings,"$22,501,596",-,-,"$22,501,596",100%,2006
Fanaa,"$22,175,908","$2,105,352",9.5%,"$20,070,556",90.5%,2006
The Marine,"$22,165,608","$18,844,784",85%,"$3,320,824",15%,2006
Unaccompanied Minors,"$21,949,234","$16,655,224",75.9%,"$5,294,010",24.1%,2006
Flicka,"$21,893,591","$21,000,147",95.9%,"$893,444",4.1%,2006
Rob-B-Hood,"$21,836,580",-,-,"$21,836,580",100%,2006
Wolfhound,"$21,573,338",-,-,"$21,573,338",100%,2006
Black Christmas,"$21,510,851","$16,273,581",75.7%,"$5,237,270",24.3%,2006
Waist Deep,"$21,353,303","$21,344,312",100%,"$8,991",<0.1%,2006
ATL,"$21,170,563","$21,170,563",100%,-,-,2006
Bobby,"$20,704,591","$11,242,801",54.3%,"$9,461,790",45.7%,2006
Beerfest,"$20,387,597","$19,185,184",94.1%,"$1,202,413",5.9%,2006
Don,"$19,640,129","$2,223,961",11.3%,"$17,416,168",88.7%,2006
Marrying the Mafia III,"$19,606,487",-,-,"$19,606,487",100%,2006
Akeelah and the Bee,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%,2006
See No Evil,"$18,564,467","$15,032,800",81%,"$3,531,667",19%,2006
Hanbando,"$18,483,140",-,-,"$18,483,140",100%,2006
Bandidas,"$18,381,890",-,-,"$18,381,890",100%,2006
Friends with Money,"$18,245,244","$13,368,437",73.3%,"$4,876,807",26.7%,2006
Krrish,"$18,041,250","$1,430,721",7.9%,"$16,610,529",92.1%,2006
Lage Raho Munna Bhai,"$17,897,527","$2,217,562",12.4%,"$15,679,965",87.6%,2006
Flyboys,"$17,834,865","$13,090,630",73.4%,"$4,744,235",26.6%,2006
Battle of the Warriors,"$17,812,601",-,-,"$17,812,601",100%,2006
Memories of Tomorrow,"$17,696,020","$140,200",0.8%,"$17,555,820",99.2%,2006
Grave Decisions,"$17,685,834",-,-,"$17,685,834",100%,2006
Avenue Montaigne,"$17,574,836","$2,044,858",11.6%,"$15,529,978",88.4%,2006
Annapolis,"$17,496,992","$17,127,992",97.9%,"$369,000",2.1%,2006
"Paris, je t'aime","$17,471,727","$4,899,278",28%,"$12,572,449",72%,2006
Material Girls,"$16,907,725","$11,449,638",67.7%,"$5,458,087",32.3%,2006
Zhara,"$16,877,870",-,-,"$16,877,870",100%,2006
