Release Group,Worldwide,Domestic,%,Foreign,%,Year
Independence Day,"$306,169,268","$306,169,268",100%,-,-,1996
Twister,"$241,721,524","$241,721,524",100%,-,-,1996
The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,1996
Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-,1996
Jerry Maguire,"$153,952,592","$153,952,592",100%,-,-,1996
Ransom,"$136,492,681","$136,492,681",100%,-,-,1996
101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-,1996
The Rock,"$134,069,511","$134,069,511",100%,-,-,1996
The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-,1996
The Birdcage,"$124,060,553","$124,060,553",100%,-,-,1996
A Time to Kill,"$108,766,007","$108,766,007",100%,-,-,1996
The First Wives Club,"$105,489,203","$105,489,203",100%,-,-,1996
Phenomenon,"$104,636,382","$104,636,382",100%,-,-,1996
Scream,"$103,046,663","$103,046,663",100%,-,-,1996
Eraser,"$101,295,562","$101,295,562",100%,-,-,1996
The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-,1996
Michael,"$95,318,203","$95,318,203",100%,-,-,1996
Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-,1996
Space Jam,"$90,418,342","$90,418,342",100%,-,-,1996
The English Patient,"$78,676,425","$78,676,425",100%,-,-,1996
Broken Arrow,"$70,770,147","$70,770,147",100%,-,-,1996
Evita,"$68,265,837","$50,047,179",73.3%,"$18,218,658",26.7%,1996
Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-,1996
Jingle All the Way,"$60,592,389","$60,592,389",100%,-,-,1996
The Cable Guy,"$60,240,295","$60,240,295",100%,-,-,1996
Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-,1996
Jack,"$58,620,973","$58,620,973",100%,-,-,1996
Executive Decision,"$56,569,216","$56,569,216",100%,-,-,1996
Primal Fear,"$56,116,183","$56,116,183",100%,-,-,1996
Tin Cup,"$53,854,588","$53,854,588",100%,-,-,1996
