Release Group,Worldwide,Domestic,%,Foreign,%,Year
Sleepers,"$53,315,285","$53,315,285",100%,-,-,1996
DragonHeart,"$51,367,375","$51,367,375",100%,-,-,1996
Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-,1996
The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-,1996
Romeo + Juliet,"$46,351,345","$46,351,345",100%,-,-,1996
One Fine Day,"$46,151,454","$46,151,454",100%,-,-,1996
The Mirror Has Two Faces,"$41,083,864","$41,083,864",100%,-,-,1996
Happy Gilmore,"$38,824,099","$38,824,099",100%,-,-,1996
The Ghost and the Darkness,"$38,619,405","$38,619,405",100%,-,-,1996
Mars Attacks!,"$37,771,017","$37,771,017",100%,-,-,1996
Set It Off,"$36,461,139","$36,461,139",100%,-,-,1996
Shine,"$35,999,081","$35,892,330",99.7%,"$106,751",0.3%,1996
The Truth About Cats & Dogs,"$34,861,807","$34,861,807",100%,-,-,1996
A Thin Line Between Love and Hate,"$34,767,836","$34,767,836",100%,-,-,1996
Muppet Treasure Island,"$34,327,391","$34,327,391",100%,-,-,1996
Matilda,"$33,459,416","$33,459,416",100%,-,-,1996
The Long Kiss Goodnight,"$33,447,612","$33,447,612",100%,-,-,1996
Striptease,"$33,109,743","$33,109,743",100%,-,-,1996
Daylight,"$33,023,469","$33,023,469",100%,-,-,1996
Homeward Bound II: Lost in San Francisco,"$32,772,492","$32,772,492",100%,-,-,1996
Black Sheep,"$32,417,995","$32,417,995",100%,-,-,1996
Rumble in the Bronx,"$32,392,047","$32,392,047",100%,-,-,1996
Eddie,"$31,387,164","$31,387,164",100%,-,-,1996
Sgt. Bilko,"$30,356,793","$30,356,793",100%,-,-,1996
James and the Giant Peach,"$28,946,127","$28,946,127",100%,-,-,1996
The Island of Dr. Moreau,"$27,663,982","$27,663,982",100%,-,-,1996
Spy Hard,"$26,960,191","$26,960,191",100%,-,-,1996
Eye for an Eye,"$26,877,589","$26,877,589",100%,-,-,1996
Harriet the Spy,"$26,570,048","$26,570,048",100%,-,-,1996
First Kid,"$26,491,793","$26,491,793",100%,-,-,1996
That Thing You Do!,"$25,857,416","$25,857,416",100%,-,-,1996
From Dusk Till Dawn,"$25,836,684","$25,836,616",100%,$68,<0.1%,1996
Down Periscope,"$25,785,603","$25,785,603",100%,-,-,1996
Escape from L.A.,"$25,477,365","$25,477,365",100%,-,-,1996
Fly Away Home,"$25,143,818","$25,143,818",100%,-,-,1996
Kingpin,"$25,023,434","$25,023,434",100%,-,-,1996
The Craft,"$24,819,936","$24,819,936",100%,-,-,1996
Fargo,"$24,611,975","$24,611,975",100%,-,-,1996
Sling Blade,"$24,444,121","$24,444,121",100%,-,-,1996
D3: The Mighty Ducks,"$22,955,097","$22,955,097",100%,-,-,1996
The Juror,"$22,754,725","$22,754,725",100%,-,-,1996
My Fellow Americans,"$22,313,201","$22,313,201",100%,-,-,1996
Emma,"$22,231,658","$22,231,658",100%,-,-,1996
The Quest,"$21,686,547","$21,686,547",100%,-,-,1996
Bulletproof,"$21,576,954","$21,576,954",100%,-,-,1996
A Very Brady Sequel,"$21,440,752","$21,440,752",100%,-,-,1996
High School High,"$21,302,121","$21,302,121",100%,-,-,1996
Chain Reaction,"$21,226,204","$21,226,204",100%,-,-,1996
Multiplicity,"$21,075,014","$21,075,014",100%,-,-,1996
Oliver & Company 1996 Re-release,"$20,872,291","$20,872,291",100%,-,-,1996
Fear,"$20,831,000","$20,831,000",100%,-,-,1996
The Glimmer Man,"$20,351,264","$20,351,264",100%,-,-,1996
City Hall,"$20,340,204","$20,340,204",100%,-,-,1996
The People vs. Larry Flynt,"$20,300,385","$20,300,385",100%,-,-,1996
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$20,109,115","$20,109,115",100%,-,-,1996
Flipper,"$20,080,020","$20,080,020",100%,-,-,1996
Mother,"$19,145,198","$19,145,198",100%,-,-,1996
Bed of Roses,"$19,030,691","$19,030,691",100%,-,-,1996
Kazaam,"$18,937,262","$18,937,262",100%,-,-,1996
The Fan,"$18,626,419","$18,626,419",100%,-,-,1996
Last Man Standing,"$18,115,927","$18,115,927",100%,-,-,1996
The Crow: City of Angels,"$17,917,287","$17,917,287",100%,-,-,1996
Extreme Measures,"$17,380,126","$17,380,126",100%,-,-,1996
The Phantom,"$17,323,326","$17,323,326",100%,-,-,1996
Fled,"$17,193,231","$17,193,231",100%,-,-,1996
Diabolique,"$17,100,266","$17,100,266",100%,-,-,1996
The Frighteners,"$16,759,216","$16,759,216",100%,-,-,1996
Trainspotting,"$16,491,080","$16,491,080",100%,-,-,1996
Supercop,"$16,270,600","$16,270,600",100%,-,-,1996
Thinner,"$15,315,484","$15,315,484",100%,-,-,1996
The Adventures of Pinocchio,"$15,094,530","$15,094,530",100%,-,-,1996
The Substitute,"$14,818,176","$14,818,176",100%,-,-,1996
Flirting with Disaster,"$14,702,438","$14,702,438",100%,-,-,1996
The Chamber,"$14,551,359","$14,551,359",100%,-,-,1996
Maximum Risk,"$14,502,483","$14,502,483",100%,-,-,1996
In Love and War,"$14,481,231","$14,481,231",100%,-,-,1996
The Arrival,"$14,063,331","$14,063,331",100%,-,-,1996
Bio-Dome,"$13,427,615","$13,427,615",100%,-,-,1996
Secrets & Lies,"$13,417,292","$13,417,292",100%,-,-,1996
Ghosts of Mississippi,"$13,323,144","$13,323,144",100%,-,-,1996
The Associate,"$12,844,057","$12,844,057",100%,-,-,1996
Mr. Wrong,"$12,825,141","$12,825,141",100%,-,-,1996
Marvin's Room,"$12,803,305","$12,803,305",100%,-,-,1996
The Evening Star,"$12,767,815","$12,767,815",100%,-,-,1996
The Spitfire Grill,"$12,658,486","$12,658,486",100%,-,-,1996
Lone Star,"$12,408,986","$12,408,986",100%,-,-,1996
Big Night,"$12,008,376","$12,008,376",100%,-,-,1996
Alaska,"$11,829,959","$11,829,959",100%,-,-,1996
Mulholland Falls,"$11,526,099","$11,526,099",100%,-,-,1996
2 Days in the Valley,"$11,132,210","$11,132,210",100%,-,-,1996
Michael Collins,"$11,092,559","$11,092,559",100%,-,-,1996
Two If by Sea,"$10,658,278","$10,658,278",100%,-,-,1996
Beautiful Girls,"$10,597,759","$10,597,759",100%,-,-,1996
White Squall,"$10,292,300","$10,292,300",100%,-,-,1996
Sunset Park,"$10,163,782","$10,163,782",100%,-,-,1996
A Family Thing,"$10,125,417","$10,125,417",100%,-,-,1996
Mrs. Winterbourne,"$10,082,005","$10,082,005",100%,-,-,1996
Dunston Checks In,"$9,871,065","$9,871,065",100%,-,-,1996
Everyone Says I Love You,"$9,759,200","$9,759,200",100%,-,-,1996
She's the One,"$9,538,948","$9,538,948",100%,-,-,1996
Hellraiser: Bloodline,"$9,336,886","$9,336,886",100%,-,-,1996
Celtic Pride,"$9,255,027","$9,255,027",100%,-,-,1996
Before and After,"$8,797,839","$8,797,839",100%,-,-,1996
All Dogs Go to Heaven 2,"$8,620,678","$8,620,678",100%,-,-,1996
The Rich Man's Wife,"$8,543,587","$8,543,587",100%,-,-,1996
Larger Than Life,"$8,315,693","$8,315,693",100%,-,-,1996
The Great White Hype,"$8,008,255","$8,008,255",100%,-,-,1996
The Crucible,"$7,343,114","$7,343,114",100%,-,-,1996
Dear God,"$7,138,523","$7,138,523",100%,-,-,1996
House Arrest,"$7,032,782","$7,032,782",100%,-,-,1996
Last Dance,"$5,939,449","$5,939,449",100%,-,-,1996
Bordello of Blood,"$5,781,045","$5,781,045",100%,-,-,1996
Get on the Bus,"$5,754,249","$5,754,249",100%,-,-,1996
Screamers,"$5,711,695","$5,711,695",100%,-,-,1996
Mary Reilly,"$5,707,094","$5,707,094",100%,-,-,1996
Cold Comfort Farm,"$5,682,429","$5,682,429",100%,-,-,1996
The Pallbearer,"$5,656,388","$5,656,388",100%,-,-,1996
Jane Eyre,"$5,200,601","$5,200,601",100%,-,-,1996
Solo,"$5,107,669","$5,107,669",100%,-,-,1996
Heaven's Prisoners,"$5,009,305","$5,009,305",100%,-,-,1996
Girl 6,"$4,939,939","$4,939,939",100%,-,-,1996
Stealing Beauty,"$4,762,310","$4,722,310",99.2%,"$40,000",0.8%,1996
Hamlet,"$4,739,189","$4,708,156",99.3%,"$31,033",0.7%,1996
Joe's Apartment,"$4,619,014","$4,619,014",100%,-,-,1996
Welcome to the Dollhouse,"$4,569,019","$4,569,019",100%,-,-,1996
Swingers,"$4,555,020","$4,555,020",100%,-,-,1996
Ed,"$4,422,380","$4,422,380",100%,-,-,1996
Bogus,"$4,357,406","$4,357,406",100%,-,-,1996
Antonia's Line,"$4,249,321","$4,228,275",99.5%,"$21,046",0.5%,1996
To Gillian on Her 37th Birthday,"$4,189,233","$4,189,233",100%,-,-,1996
Breaking the Waves,"$3,803,298","$3,803,298",100%,-,-,1996
Bound,"$3,802,260","$3,802,260",100%,-,-,1996
Barb Wire,"$3,793,614","$3,793,614",100%,-,-,1996
Original Gangstas,"$3,718,087","$3,718,087",100%,-,-,1996
The Portrait of a Lady,"$3,692,836","$3,692,836",100%,-,-,1996
The Trigger Effect,"$3,622,979","$3,622,979",100%,-,-,1996
Moll Flanders,"$3,486,957","$3,486,957",100%,-,-,1996
Angels and Insects,"$3,414,301","$3,414,301",100%,-,-,1996
Carpool,"$3,325,651","$3,325,651",100%,-,-,1996
Feeling Minnesota,"$3,124,440","$3,124,440",100%,-,-,1996
Basquiat,"$3,011,195","$3,011,195",100%,-,-,1996
Unforgettable,"$2,821,671","$2,821,671",100%,-,-,1996
When We Were Kings,"$2,789,985","$2,789,985",100%,-,-,1996
Crash,"$2,664,812","$2,664,812",100%,-,-,1996
Kids in the Hall: Brain Candy,"$2,654,308","$2,654,308",100%,-,-,1996
The Stupids,"$2,491,989","$2,491,989",100%,-,-,1996
If Lucy Fell,"$2,420,162","$2,420,162",100%,-,-,1996
Lawnmower Man 2: Beyond Cyberspace,"$2,409,225","$2,409,225",100%,-,-,1996
Once Upon a Time... When We Were Colored,"$2,291,255","$2,291,255",100%,-,-,1996
Palermo-Milan One Way,"$2,269,305",-,-,"$2,269,305",100%,1996
Faithful,"$2,104,439","$2,104,439",100%,-,-,1996
Snowriders,"$2,068,490","$2,068,490",100%,-,-,1996
Big Bully,"$2,042,530","$2,042,530",100%,-,-,1996
Surviving Picasso,"$2,021,348","$2,021,348",100%,-,-,1996
Ridicule,"$1,979,768","$1,979,768",100%,-,-,1996
Vertigo 1996 Restored 70mm,"$1,967,552","$1,967,552",100%,-,-,1996
Race the Sun,"$1,945,552","$1,945,552",100%,-,-,1996
I Shot Andy Warhol,"$1,875,527","$1,875,527",100%,-,-,1996
Beautiful Thing,"$1,548,120","$1,548,120",100%,-,-,1996
Microcosmos,"$1,433,210","$1,433,210",100%,-,-,1996
Looking for Richard,"$1,408,575","$1,408,575",100%,-,-,1996
The Celluloid Closet,"$1,400,591","$1,400,591",100%,-,-,1996
Phat Beach,"$1,383,553","$1,383,553",100%,-,-,1996
Kansas City,"$1,356,329","$1,356,329",100%,-,-,1996
Nueba Yol 3: Bajo la nueva ley,"$1,354,652","$1,354,652",100%,-,-,1996
Anne Frank Remembered,"$1,310,200","$1,310,200",100%,-,-,1996
Walking and Talking,"$1,287,480","$1,287,480",100%,-,-,1996
The Funeral,"$1,227,324","$1,227,324",100%,-,-,1996
Two Much,"$1,141,556","$1,141,556",100%,-,-,1996
Bad Moon,"$1,055,525","$1,055,525",100%,-,-,1996
