Release Group,Worldwide,Domestic,%,Foreign,%,Year
Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%,2020
Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%,2020
Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020
The War with Grandpa,"$40,743,350","$21,277,892",52.2%,"$19,465,458",47.8%,2020
Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%,2020
New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%,2020
The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%,2020
The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%,2020
My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%,2020
Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%,2020
Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%,2020
Doraemon the Movie: Nobita's New Dinosaur,"$33,479,893",-,-,"$33,479,893",100%,2020
Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%,2020
Honest Thief,"$31,139,004","$14,163,574",45.5%,"$16,975,430",54.5%,2020
Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%,2020
Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%,2020
Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%,2020
The Witches,"$26,900,000",-,-,"$26,900,000",100%,2020
Emma.,"$26,405,753","$10,055,355",38.1%,"$16,350,398",61.9%,2020
Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%,2020
Scoob!,"$24,900,000",-,-,"$24,900,000",100%,2020
Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%,2020
Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%,2020
Poupelle of Chimney Town,"$21,824,592",-,-,"$21,824,592",100%,2020
Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%,2020
The Father,"$21,109,467","$2,122,771",10.1%,"$18,986,696",89.9%,2020
The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%,2020
Yarn,"$20,444,185",-,-,"$20,444,185",100%,2020
Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%,2020
Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020
Ice 2,"$19,788,995",-,-,"$19,788,995",100%,2020
Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%,2020
The Turning,"$19,429,304","$15,472,775",79.6%,"$3,956,529",20.4%,2020
Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%,2020
How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%,2020
Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%,2020
The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%,2020
Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%,2020
Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%,2020
Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%,2020
Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%,2020
Promising Young Woman,"$16,605,359","$6,460,965",38.9%,"$10,144,394",61.1%,2020
Bye Bye Morons,"$16,555,314",-,-,"$16,555,314",100%,2020
Pokémon the Movie: Secrets of the Jungle,"$16,052,056",-,-,"$16,052,056",100%,2020
I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%,2020
Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%,2020
Padre no hay más que uno 2: La llegada de la suegra,"$15,354,893",-,-,"$15,354,893",100%,2020
The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%,2020
The Personal History of David Copperfield,"$14,323,901","$1,876,298",13.1%,"$12,447,603",86.9%,2020
Nightlife,"$14,308,789",-,-,"$14,308,789",100%,2020
Pawn,"$14,193,957",-,-,"$14,193,957",100%,2020
#Alive,"$13,432,212",-,-,"$13,432,212",100%,2020
Howling Village,"$13,394,556",-,-,"$13,394,556",100%,2020
Come Play,"$13,175,457","$10,475,990",79.5%,"$2,699,467",20.5%,2020
Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%,2020
News of the World,"$12,668,325","$12,668,325",100%,-,-,2020
Collectors,"$12,640,113",-,-,"$12,640,113",100%,2020
No Escapes,"$12,611,105",-,-,"$12,611,105",100%,2020
Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%,2020
Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%,2020
Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%,2020
Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%,2020
The Hunt,"$11,473,631","$5,812,500",50.7%,"$5,661,131",49.3%,2020
The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%,2020
30 jours max,"$10,902,305",-,-,"$10,902,305",100%,2020
Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%,2020
The Lion King 2020 Re-release,"$10,691,933",-,-,"$10,691,933",100%,2020
Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-,2020
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%,2020
One Second,"$10,600,000",-,-,"$10,600,000",100%,2020
Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%,2020
Another Round,"$10,559,932",-,-,"$10,559,932",100%,2020
Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%,2020
My Spy,"$10,200,000",-,-,"$10,200,000",100%,2020
The Asadas,"$10,066,797",-,-,"$10,066,797",100%,2020
Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%,2020
Bigfoot Family,"$9,649,111",-,-,"$9,649,111",100%,2020
10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%,2020
365 Days,"$9,458,590",-,-,"$9,458,590",100%,2020
Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%,2020
Okay Madam,"$9,433,525",-,-,"$9,433,525",100%,2020
A Quiet Place 2020 Re-release,"$9,381,052",-,-,"$9,381,052",100%,2020
L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%,2020
Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%,2020
Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%,2020
The Closet,"$8,948,595",-,-,"$8,948,595",100%,2020
I Hate Summer,"$8,925,677",-,-,"$8,925,677",100%,2020
Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%,2020
Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%,2020
The Secret Garden,"$8,834,976",-,-,"$8,834,976",100%,2020
Malasaña 32,"$8,718,859",-,-,"$8,718,859",100%,2020
Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%,2020
Malang,"$8,399,765",-,-,"$8,399,765",100%,2020
100% Wolf,"$8,349,128","$658,764",7.9%,"$7,690,364",92.1%,2020
Bohemian Rhapsody 2020 Re-release,"$8,247,390","$240,000",2.9%,"$8,007,390",97.1%,2020
Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,2020
AI Amok,"$7,932,191",-,-,"$7,932,191",100%,2020
The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,2020
The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%,2020
Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%,2020
Antoinette dans les Cévennes,"$7,716,837",-,-,"$7,716,837",100%,2020
Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%,2020
Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%,2020
The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%,2020
Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%,2020
De Gaulle,"$7,466,530",-,-,"$7,466,530",100%,2020
The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%,2020
Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%,2020
Adu,"$7,085,946",-,-,"$7,085,946",100%,2020
The Best Years,"$7,046,708",-,-,"$7,046,708",100%,2020
Fatale,"$6,993,043","$6,306,897",90.2%,"$686,146",9.8%,2020
Spycies,"$6,979,570",-,-,"$6,979,570",100%,2020
Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%,2020
Antebellum,"$6,852,361",-,-,"$6,852,361",100%,2020
Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%,2020
Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%,2020
Innocence,"$6,659,968",-,-,"$6,659,968",100%,2020
Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%,2020
Silver Skates,"$6,574,310",-,-,"$6,574,310",100%,2020
Dragon Rider,"$6,532,855",-,-,"$6,532,855",100%,2020
Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%,2020
"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%,2020
Hammamet,"$6,434,874",-,-,"$6,434,874",100%,2020
Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%,2020
Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%,2020
Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%,2020
Simply Black,"$6,323,750",-,-,"$6,323,750",100%,2020
My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020
Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%,2020
Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%,2020
The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%,2020
The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020
Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%,2020
How to Be a Good Wife,"$5,975,340",-,-,"$5,975,340",100%,2020
Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%,2020
The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%,2020
Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%,2020
Last Letter,"$5,663,972",-,-,"$5,663,972",100%,2020
Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%,2020
Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%,2020
Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%,2020
Two by Two: Overboard!,"$5,382,327",-,-,"$5,382,327",100%,2020
Divorce Club,"$5,316,313",-,-,"$5,316,313",100%,2020
Mama Weed,"$5,256,436","$23,851",0.5%,"$5,232,585",99.5%,2020
Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%,2020
Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%,2020
Masked Ward,"$5,106,794",-,-,"$5,106,794",100%,2020
Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%,2020
Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%,2020
Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%,2020
The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%,2020
Mayday,"$5,011,408",-,-,"$5,011,408",100%,2020
Bheeshma,"$4,997,080",-,-,"$4,997,080",100%,2020
Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%,2020
Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%,2020
Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%,2020
Military Wives,"$4,885,613",-,-,"$4,885,613",100%,2020
Run,"$4,873,567",-,-,"$4,873,567",100%,2020
The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%,2020
Streltsov,"$4,850,073",-,-,"$4,850,073",100%,2020
The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-,2020
The Vets,"$4,788,826",-,-,"$4,788,826",100%,2020
The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%,2020
Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%,2020
