Release Group,Worldwide,Domestic,%,Foreign,%,Year
The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020
Demon Slayer: Mugen Train,"$453,108,486","$47,700,000",10.5%,"$405,408,486",89.5%,2020
Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020
"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020
Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%,2020
Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020
Dolittle,"$245,487,753","$77,047,065",31.4%,"$168,440,688",68.6%,2020
Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%,2020
A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020
The Croods: A New Age,"$202,243,815","$58,568,815",29%,"$143,675,000",71%,2020
Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020
Shock Wave 2,"$198,920,479",-,-,"$198,920,479",100%,2020
Wonder Woman 1984,"$166,534,027","$46,534,027",27.9%,"$120,000,000",72.1%,2020
The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020
The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%,2020
Onward,"$141,949,294","$61,555,145",43.4%,"$80,394,149",56.6%,2020
Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020
Soul,"$119,263,083",-,-,"$119,263,083",100%,2020
The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%,2020
Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,2020
The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,2020
Mulan,"$66,800,000",-,-,"$66,800,000",100%,2020
Stand by Me Doraemon 2,"$65,066,630",-,-,"$65,066,630",100%,2020
The Rescue,"$64,042,765","$18,797",<0.1%,"$64,023,968",100%,2020
Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,2020
Greenland,"$52,300,000",-,-,"$52,300,000",100%,2020
Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,2020
Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%,2020
Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%,2020
After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,2020
"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%,2020
Trolls World Tour,"$47,064,837",-,-,"$47,064,837",100%,2020
The New Mutants,"$46,996,076","$23,852,659",50.8%,"$23,143,417",49.2%,2020
Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,2020
Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,2020
The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,2020
